state,el_level,year,month,mean,median,type
,10,,01,32.8,30.0,snow
,10,,02,42.7,39.0,snow
,10,,03,48.0,46.0,snow
,10,,04,44.8,44.0,snow
,10,,05,40.5,37.0,snow
,10,,06,14.1,1.0,snow
,3,,01,26.5,21.0,snow
,3,,02,32.0,25.0,snow
,3,,03,34.6,24.0,snow
,3,,04,35.0,17.0,snow
,3,,05,28.1,1.0,snow
,3,,06,11.5,0.0,snow
,4,,01,27.4,23.0,snow
,4,,02,34.6,28.0,snow
,4,,03,36.3,29.0,snow
,4,,04,36.4,24.0,snow
,4,,05,28.6,9.0,snow
,4,,06,11.5,0.0,snow
,5,,01,32.7,27.0,snow
,5,,02,40.6,33.0,snow
,5,,03,44.9,35.0,snow
,5,,04,46.2,36.0,snow
,5,,05,35.7,18.0,snow
,5,,06,13.9,0.0,snow
,6,,01,32.7,27.0,snow
,6,,02,40.3,34.0,snow
,6,,03,41.4,34.0,snow
,6,,04,41.4,32.0,snow
,6,,05,34.2,21.5,snow
,6,,06,12.2,0.0,snow
,7,,01,28.5,26.0,snow
,7,,02,35.6,34.0,snow
,7,,03,37.7,36.0,snow
,7,,04,36.4,34.0,snow
,7,,05,26.4,21.0,snow
,7,,06,6.9,0.0,snow
,8,,01,29.9,26.0,snow
,8,,02,37.1,35.0,snow
,8,,03,41.1,39.0,snow
,8,,04,38.7,36.0,snow
,8,,05,31.6,27.0,snow
,8,,06,9.9,0.0,snow
,9,,01,29.7,26.0,snow
,9,,02,37.7,35.0,snow
,9,,03,42.5,40.0,snow
,9,,04,37.5,35.0,snow
,9,,05,32.5,27.0,snow
,9,,06,10.9,0.0,snow
