type,state,month,value,anomaly,avg
drought,AZ,01,-1.6,-1.6,-3.2
drought,AZ,02,-1.6,-1.7,-3.3
drought,AZ,03,-1.9,-2.0,-3.9
drought,AZ,04,-2.1,-2.3,-4.4
drought,AZ,05,-2.3,-2.5,-4.8
drought,AZ,06,-2.6,-2.9,-5.5
drought,CA,01,-1.2,-1.2,-2.4
drought,CA,02,-1.3,-1.2,-2.5
drought,CA,03,-1.5,-1.5,-3.0
drought,CA,04,-1.4,-1.4,-2.8
drought,CA,05,-1.6,-1.6,-3.2
drought,CA,06,-1.7,-1.8,-3.5
drought,CO,01,-1.0,-1.4,-2.4
drought,CO,02,-1.0,-1.4,-2.4
drought,CO,03,-1.6,-2.0,-3.6
drought,CO,04,-1.5,-1.9,-3.4
drought,CO,05,-1.5,-1.9,-3.4
drought,CO,06,-1.5,-1.8,-3.3
drought,ID,01,-1.5,-1.6,-3.1
drought,ID,02,-1.7,-1.7,-3.4
drought,ID,03,-1.4,-1.4,-2.8
drought,ID,04,-1.0,-1.0,-2.0
drought,ID,05,-0.8,-1.0,-1.8
drought,ID,06,-0.9,-1.0,-1.9
drought,MT,01,-1.4,-1.9,-3.3
drought,MT,02,-1.6,-2.1,-3.7
drought,MT,03,-1.9,-2.3,-4.2
drought,MT,04,-1.4,-1.8,-3.2
drought,MT,05,-0.8,-1.2,-2.0
drought,MT,06,-0.8,-1.3,-2.1
drought,NM,01,-1.1,-1.2,-2.3
drought,NM,02,-0.9,-1.1,-2.0
drought,NM,03,-1.1,-1.3,-2.4
drought,NM,04,-1.3,-1.6,-2.9
drought,NM,05,-1.6,-1.8,-3.4
drought,NM,06,-2.0,-2.3,-4.3
drought,NV,01,-1.8,-1.7,-3.5
drought,NV,02,-1.7,-1.7,-3.4
drought,NV,03,-1.9,-1.9,-3.8
drought,NV,04,-1.8,-1.8,-3.6
drought,NV,05,-2.2,-2.2,-4.4
drought,NV,06,-2.6,-2.7,-5.3
drought,OR,01,-1.3,-1.3,-2.6
drought,OR,02,-1.7,-1.7,-3.4
drought,OR,03,-1.5,-1.4,-2.9
drought,OR,04,-0.9,-0.8,-1.7
drought,OR,05,-0.8,-0.7,-1.5
drought,OR,06,-0.8,-0.8,-1.6
drought,UT,01,-1.3,-1.6,-2.9
drought,UT,02,-1.2,-1.6,-2.8
drought,UT,03,-1.5,-1.9,-3.4
drought,UT,04,-1.5,-1.9,-3.4
drought,UT,05,-1.5,-2.0,-3.5
drought,UT,06,-1.8,-2.3,-4.1
drought,WA,01,-0.3,-0.2,-0.5
drought,WA,02,-0.7,-0.6,-1.3
drought,WA,03,-0.4,-0.1,-0.5
drought,WA,04,0.1,0.4,0.5
drought,WA,05,0.2,0.1,0.3
drought,WA,06,0.0,0.0,0.0
drought,WY,01,-2.3,-2.8,-5.1
drought,WY,02,-2.3,-2.8,-5.1
drought,WY,03,-2.5,-3.0,-5.5
drought,WY,04,-2.6,-3.3,-5.9
drought,WY,05,-2.1,-2.7,-4.8
drought,WY,06,-2.5,-2.9,-5.4
max,AZ,01,56.1,3.1,59.2
max,AZ,02,59.6,2.0,61.6
max,AZ,03,66.9,3.8,70.7
max,AZ,04,73.9,2.2,76.1
max,AZ,05,83.3,2.4,85.7
max,AZ,06,93.9,3.0,96.9
max,CA,01,55.2,3.3,58.5
max,CA,02,57.7,2.1,59.8
max,CA,03,63.2,3.2,66.4
max,CA,04,67.7,1.2,68.9
max,CA,05,76.5,2.4,78.9
max,CA,06,85.4,2.6,88.0
max,CO,01,39.2,2.8,42.0
max,CO,02,41.1,0.5,41.6
max,CO,03,50.7,3.8,54.5
max,CO,04,58.3,2.2,60.5
max,CO,05,67.3,1.5,68.8
max,CO,06,79.1,2.9,82.0
max,ID,01,33.3,3.1,36.4
max,ID,02,37.5,1.9,39.4
max,ID,03,45.9,3.1,49.0
max,ID,04,53.7,1.0,54.7
max,ID,05,62.7,0.7,63.4
max,ID,06,72.2,1.8,74.0
max,MT,01,32.1,5.7,37.8
max,MT,02,34.2,2.4,36.6
max,MT,03,44.5,4.3,48.8
max,MT,04,54.0,1.3,55.3
max,MT,05,62.7,-0.1,62.6
max,MT,06,71.9,0.8,72.7
max,NM,01,50.0,2.5,52.5
max,NM,02,53.7,1.7,55.4
max,NM,03,62.1,3.6,65.7
max,NM,04,69.9,2.7,72.6
max,NM,05,78.4,2.1,80.5
max,NM,06,88.5,3.0,91.5
max,NV,01,43.7,2.8,46.5
max,NV,02,47.0,1.7,48.7
max,NV,03,55.1,3.6,58.7
max,NV,04,61.1,1.0,62.1
max,NV,05,71.0,1.8,72.8
max,NV,06,82.7,3.3,86.0
max,OR,01,41.3,3.7,45.0
max,OR,02,44.8,2.6,47.4
max,OR,03,50.4,2.4,52.8
max,OR,04,56.0,0.6,56.6
