type,state,month,value,anomaly,avg
max,OR,05,64.2,1.2,65.4
max,OR,06,72.5,1.9,74.4
max,UT,01,38.3,2.6,40.9
max,UT,02,43.0,1.8,44.8
max,UT,03,52.7,4.0,56.7
max,UT,04,60.1,1.8,61.9
max,UT,05,70.0,1.7,71.7
max,UT,06,82.2,3.4,85.6
max,WA,01,37.6,3.2,40.8
max,WA,02,42.5,2.2,44.7
max,WA,03,48.8,1.2,50.0
max,WA,04,55.9,-0.0,55.9
max,WA,05,63.8,0.2,64.0
max,WA,06,70.2,0.3,70.5
max,WY,01,33.2,4.3,37.5
max,WY,02,34.9,1.4,36.3
max,WY,03,45.2,4.6,49.8
max,WY,04,53.2,2.1,55.3
max,WY,05,62.0,0.7,62.7
max,WY,06,74.0,2.3,76.3
precip,AZ,01,1.0,-0.1,0.9
precip,AZ,02,0.9,-0.2,0.7
precip,AZ,03,0.8,-0.4,0.4
precip,AZ,04,0.4,-0.2,0.2
precip,AZ,05,0.3,-0.1,0.2
precip,AZ,06,0.2,-0.1,0.1
precip,CA,01,3.2,-1.1,2.1
precip,CA,02,3.3,-0.5,2.8
precip,CA,03,2.7,-0.5,2.2
precip,CA,04,1.7,0.1,1.8
precip,CA,05,0.8,-0.1,0.7
precip,CA,06,0.3,-0.1,0.2
precip,CO,01,1.0,-0.1,0.9
precip,CO,02,1.1,-0.0,1.1
precip,CO,03,1.3,-0.3,1.0
precip,CO,04,1.8,-0.1,1.7
precip,CO,05,1.8,-0.2,1.6
precip,CO,06,1.3,-0.2,1.1
precip,ID,01,2.7,-0.4,2.3
precip,ID,02,1.8,-0.6,1.2
precip,ID,03,2.5,0.2,2.7
precip,ID,04,2.0,0.1,2.1
precip,ID,05,2.1,0.0,2.1
precip,ID,06,1.6,-0.2,1.4
precip,MT,01,1.2,-0.2,1.0
precip,MT,02,1.0,-0.1,0.9
precip,MT,03,1.3,0.0,1.3
precip,MT,04,1.7,0.2,1.9
precip,MT,05,2.8,0.4,3.2
precip,MT,06,2.7,-0.1,2.6
precip,NM,01,0.6,0.0,0.6
precip,NM,02,0.6,-0.1,0.5
precip,NM,03,0.6,-0.1,0.5
precip,NM,04,0.6,-0.2,0.4
precip,NM,05,0.8,-0.3,0.5
precip,NM,06,1.0,-0.2,0.8
precip,NV,01,1.0,-0.2,0.8
precip,NV,02,1.0,-0.1,0.9
precip,NV,03,0.9,-0.2,0.7
precip,NV,04,1.0,0.1,1.1
precip,NV,05,0.9,-0.1,0.8
precip,NV,06,0.4,-0.3,0.1
precip,OR,01,4.2,-0.6,3.6
precip,OR,02,2.9,-0.9,2.0
precip,OR,03,3.8,0.3,4.1
precip,OR,04,2.6,0.2,2.8
precip,OR,05,2.2,0.1,2.3
precip,OR,06,1.4,-0.2,1.2
precip,UT,01,1.1,-0.1,1.0
precip,UT,02,1.1,-0.1,1.0
precip,UT,03,1.1,-0.3,0.8
precip,UT,04,1.2,-0.0,1.2
precip,UT,05,1.2,0.0,1.2
precip,UT,06,0.6,-0.2,0.4
precip,WA,01,6.1,0.0,6.1
precip,WA,02,3.6,-1.1,2.5
precip,WA,03,5.1,0.9,6.0
precip,WA,04,3.0,0.2,3.2
precip,WA,05,2.5,0.3,2.8
precip,WA,06,1.9,0.0,1.9
precip,WY,01,0.8,-0.2,0.6
precip,WY,02,0.9,-0.0,0.9
precip,WY,03,1.2,-0.1,1.1
precip,WY,04,1.7,-0.1,1.6
precip,WY,05,2.4,0.2,2.6
precip,WY,06,1.5,-0.4,1.1
temp,AZ,01,43.2,2.5,45.7
temp,AZ,02,46.2,1.5,47.7
temp,AZ,03,52.5,3.0,55.5
temp,AZ,04,58.6,1.9,60.5
temp,AZ,05,67.3,2.2,69.5
temp,AZ,06,77.3,2.9,80.2
temp,CA,01,45.0,2.7,47.7
temp,CA,02,46.9,1.6,48.5
temp,CA,03,51.3,2.5,53.8
temp,CA,04,55.0,1.0,56.0
temp,CA,05,62.8,2.1,64.9
temp,CA,06,70.7,2.4,73.1
temp,CO,01,26.4,2.7,29.1
temp,CO,02,28.4,1.0,29.4
temp,CO,03,37.0,3.3,40.3
temp,CO,04,44.3,1.8,46.1
temp,CO,05,53.0,1.2,54.2
temp,CO,06,63.5,2.3,65.8
temp,ID,01,25.1,3.1,28.2
temp,ID,02,28.1,1.7,29.8
temp,ID,03,35.3,2.7,38.0
temp,ID,04,41.7,0.7,42.4
temp,ID,05,49.9,0.6,50.5
temp,ID,06,58.1,1.4,59.5
temp,MT,01,22.4,5.7,28.1
temp,MT,02,23.8,2.5,26.3
temp,MT,03,33.0,3.6,36.6
temp,MT,04,41.6,0.9,42.5
temp,MT,05,50.1,-0.2,49.9
temp,MT,06,58.8,0.5,59.3
temp,NM,01,35.7,2.0,37.7
temp,NM,02,39.1,1.3,40.4
temp,NM,03,46.2,2.7,48.9
temp,NM,04,53.5,2.1,55.6
temp,NM,05,61.8,1.6,63.4
temp,NM,06,71.7,2.5,74.2
temp,NV,01,32.7,2.7,35.4
temp,NV,02,35.7,1.6,37.3
temp,NV,03,42.3,2.8,45.1
temp,NV,04,47.5,0.9,48.4
temp,NV,05,56.5,1.5,58.0
temp,NV,06,66.6,2.7,69.3
temp,OR,01,33.6,3.4,37.0
temp,OR,02,35.9,1.8,37.7
temp,OR,03,40.2,1.9,42.1
temp,OR,04,44.3,0.4,44.7
temp,OR,05,51.7,1.2,52.9
temp,OR,06,58.6,1.4,60.0
temp,UT,01,27.8,2.5,30.3
temp,UT,02,32.0,1.7,33.7
temp,UT,03,40.4,3.1,43.5
temp,UT,04,46.9,1.4,48.3
temp,UT,05,56.1,1.4,57.5
temp,UT,06,66.7,2.7,69.4
temp,WA,01,32.1,3.7,35.8
temp,WA,02,35.0,1.9,36.9
temp,WA,03,39.9,1.3,41.2
temp,WA,04,45.3,0.2,45.5
temp,WA,05,52.4,0.6,53.0
temp,WA,06,58.5,0.8,59.3
temp,WY,01,22.4,4.0,26.4
temp,WY,02,23.6,1.3,24.9
temp,WY,03,32.9,3.8,36.7
temp,WY,04,40.3,1.5,41.8
temp,WY,05,48.8,0.4,49.2
temp,WY,06,59.1,1.5,60.6
