state,el_level,year,month,mean,median,type
AZ,10,,01,31.3,24.0,snow
AZ,10,,02,49.1,45.0,snow
AZ,10,,03,44.8,44.0,snow
AZ,10,,04,57.3,48.5,snow
AZ,6,,01,9.9,8.0,snow
AZ,6,,02,9.1,6.5,snow
AZ,6,,03,3.4,0.0,snow
AZ,6,,04,1.2,0.0,snow
AZ,6,,05,0.3,0.0,snow
AZ,6,,06,0.5,0.0,snow
AZ,7,,01,11.1,9.0,snow
AZ,7,,02,13.2,9.0,snow
AZ,7,,03,11.0,4.0,snow
AZ,7,,04,4.5,0.0,snow
AZ,7,,05,0.7,0.0,snow
AZ,7,,06,0.1,0.0,snow
AZ,8,,01,13.8,12.0,snow
AZ,8,,02,16.0,13.0,snow
AZ,8,,03,12.9,6.0,snow
AZ,8,,04,10.9,0.0,snow
AZ,8,,05,6.8,0.0,snow
AZ,8,,06,0.0,0.0,snow
AZ,9,,01,19.8,19.0,snow
AZ,9,,02,29.6,26.0,snow
AZ,9,,03,27.7,25.0,snow
AZ,9,,04,17.4,7.0,snow
AZ,9,,05,4.2,0.0,snow
AZ,9,,06,0.1,0.0,snow
CA,10,,01,40.9,42.0,snow
CA,10,,02,50.8,51.0,snow
CA,10,,03,50.7,49.5,snow
CA,10,,04,49.0,41.0,snow
CA,10,,05,28.0,21.5,snow
CA,4,,01,8.7,9.0,snow
CA,4,,02,13.5,7.0,snow
CA,4,,03,9.5,5.5,snow
CA,4,,04,2.7,0.0,snow
CA,4,,05,0.0,0.0,snow
CA,5,,01,14.9,12.0,snow
CA,5,,02,17.9,16.0,snow
CA,5,,03,17.4,10.0,snow
CA,5,,04,4.8,0.0,snow
CA,5,,05,1.0,0.0,snow
CA,5,,06,0.0,0.0,snow
CA,6,,01,31.5,26.0,snow
CA,6,,02,43.0,37.0,snow
CA,6,,03,45.6,39.0,snow
CA,6,,04,33.1,24.0,snow
CA,6,,05,22.8,0.0,snow
CA,6,,06,2.7,0.0,snow
CA,7,,01,38.2,33.5,snow
CA,7,,02,51.0,48.0,snow
CA,7,,03,55.1,52.0,snow
CA,7,,04,52.6,46.0,snow
CA,7,,05,29.0,20.5,snow
CA,7,,06,7.3,0.0,snow
CA,8,,01,43.7,41.0,snow
CA,8,,02,59.1,57.0,snow
CA,8,,03,66.8,64.0,snow
CA,8,,04,63.6,55.5,snow
CA,8,,05,46.1,38.0,snow
CA,8,,06,16.4,0.0,snow
CA,9,,01,46.6,45.0,snow
CA,9,,02,56.0,52.0,snow
CA,9,,03,62.3,57.5,snow
CA,9,,04,63.5,54.0,snow
CA,9,,05,55.6,47.0,snow
CA,9,,06,26.5,0.0,snow
CO,10,,01,32.8,31.0,snow
CO,10,,02,43.1,40.0,snow
CO,10,,03,48.4,47.0,snow
CO,10,,04,44.1,43.0,snow
CO,10,,05,40.7,37.0,snow
CO,10,,06,12.6,0.0,snow
CO,7,,01,33.2,31.0,snow
CO,7,,02,41.3,42.0,snow
CO,7,,03,38.1,40.5,snow
CO,7,,04,19.2,20.0,snow
CO,8,,01,25.4,23.0,snow
CO,8,,02,31.9,30.0,snow
CO,8,,03,30.4,29.0,snow
CO,8,,04,17.6,10.0,snow
CO,8,,05,14.9,1.0,snow
CO,8,,06,1.1,0.0,snow
CO,9,,01,27.8,26.0,snow
CO,9,,02,34.7,34.0,snow
CO,9,,03,37.4,36.0,snow
CO,9,,04,27.7,27.0,snow
CO,9,,05,29.7,25.0,snow
CO,9,,06,5.4,0.0,snow
ID,3,,01,15.1,13.0,snow
ID,3,,02,20.8,18.0,snow
ID,3,,03,18.9,15.0,snow
ID,3,,04,11.9,0.0,snow
ID,3,,05,4.7,0.0,snow
ID,3,,06,0.0,0.0,snow
ID,4,,01,22.3,21.0,snow
ID,4,,02,30.9,27.0,snow
ID,4,,03,33.7,27.5,snow
ID,4,,04,32.1,28.0,snow
ID,4,,05,20.9,11.0,snow
ID,4,,06,1.5,0.0,snow
ID,5,,01,35.1,32.0,snow
ID,5,,02,43.0,35.0,snow
ID,5,,03,46.2,36.0,snow
ID,5,,04,43.9,31.0,snow
ID,5,,05,38.1,25.0,snow
ID,5,,06,13.9,0.0,snow
ID,6,,01,36.4,33.0,snow
ID,6,,02,44.7,40.0,snow
ID,6,,03,44.6,40.0,snow
ID,6,,04,46.2,41.0,snow
ID,6,,05,36.1,27.0,snow
ID,6,,06,13.7,0.0,snow
ID,7,,01,36.2,34.0,snow
ID,7,,02,45.5,43.0,snow
ID,7,,03,46.9,44.0,snow
ID,7,,04,50.2,49.0,snow
ID,7,,05,35.5,32.0,snow
ID,7,,06,8.2,0.0,snow
ID,8,,01,41.6,41.0,snow
ID,8,,02,49.5,48.0,snow
ID,8,,03,53.0,52.0,snow
ID,8,,04,62.0,60.0,snow
ID,8,,05,48.6,46.0,snow
ID,8,,06,15.8,2.0,snow
ID,9,,01,39.7,36.0,snow
ID,9,,02,44.2,42.0,snow
ID,9,,03,49.5,46.0,snow
ID,9,,04,62.6,60.0,snow
ID,9,,05,52.0,49.0,snow
ID,9,,06,21.7,18.0,snow
MT,3,,01,29.0,29.5,snow
MT,3,,02,31.5,32.5,snow
MT,3,,03,27.8,26.0,snow
MT,3,,04,11.4,5.0,snow
MT,3,,05,25.7,27.0,snow
MT,4,,01,20.0,17.0,snow
MT,4,,02,27.0,23.0,snow
MT,4,,03,25.5,21.0,snow
MT,4,,04,18.2,10.0,snow
MT,4,,05,7.6,0.0,snow
MT,4,,06,0.2,0.0,snow
MT,5,,01,29.0,23.0,snow
MT,5,,02,37.3,31.5,snow
MT,5,,03,42.8,35.0,snow
MT,5,,04,39.5,34.0,snow
MT,5,,05,24.7,14.0,snow
MT,5,,06,3.1,0.0,snow
MT,6,,01,34.8,27.0,snow
MT,6,,02,43.6,33.0,snow
MT,6,,03,49.1,38.0,snow
MT,6,,04,47.3,36.0,snow
MT,6,,05,46.4,37.0,snow
MT,6,,06,20.1,0.0,snow
MT,7,,01,29.1,28.0,snow
MT,7,,02,37.1,35.0,snow
MT,7,,03,41.9,40.0,snow
MT,7,,04,40.8,38.5,snow
MT,7,,05,39.4,39.0,snow
MT,7,,06,14.8,4.0,snow
MT,8,,01,34.7,32.0,snow
MT,8,,02,44.0,41.0,snow
MT,8,,03,51.6,48.0,snow
MT,8,,04,57.0,53.0,snow
MT,8,,05,56.5,53.0,snow
MT,8,,06,28.8,26.0,snow
MT,9,,01,55.4,53.0,snow
MT,9,,02,67.8,65.5,snow
MT,9,,03,79.8,78.0,snow
MT,9,,04,87.2,83.0,snow
MT,9,,05,84.9,83.0,snow
MT,9,,06,52.2,50.5,snow
NM,10,,01,26.2,24.0,snow
NM,10,,02,34.3,29.0,snow
NM,10,,03,35.2,33.0,snow
NM,10,,04,29.9,28.0,snow
NM,10,,05,17.9,7.0,snow
NM,10,,06,3.1,0.0,snow
NM,7,,01,8.3,8.0,snow
NM,7,,02,8.4,5.5,snow
NM,7,,03,1.7,0.0,snow
NM,7,,04,0.0,0.0,snow
NM,8,,01,10.9,10.0,snow
NM,8,,02,13.3,11.0,snow
NM,8,,03,9.0,4.0,snow
NM,8,,04,4.0,0.0,snow
NM,8,,05,0.5,0.0,snow
NM,8,,06,0.1,0.0,snow
NM,9,,01,17.0,16.0,snow
NM,9,,02,21.1,20.0,snow
NM,9,,03,19.5,17.0,snow
NM,9,,04,11.3,7.0,snow
NM,9,,05,2.3,0.0,snow
NM,9,,06,0.1,0.0,snow
NV,10,,01,20.1,20.0,snow
NV,10,,02,29.9,28.0,snow
NV,10,,03,34.8,31.0,snow
NV,10,,04,32.7,29.0,snow
NV,10,,05,24.1,21.0,snow
NV,10,,06,7.3,0.0,snow
NV,5,,01,8.8,8.5,snow
NV,5,,02,7.1,6.0,snow
NV,5,,03,1.3,0.0,snow
NV,6,,01,15.8,16.0,snow
NV,6,,02,17.6,18.0,snow
NV,6,,03,12.8,11.0,snow
NV,6,,04,10.3,3.0,snow
NV,6,,05,2.6,0.0,snow
NV,6,,06,0.0,0.0,snow
NV,7,,01,22.9,22.0,snow
NV,7,,02,25.6,25.0,snow
NV,7,,03,24.1,24.0,snow
NV,7,,04,26.1,26.0,snow
NV,7,,05,14.8,4.0,snow
NV,7,,06,1.4,0.0,snow
NV,8,,01,34.2,31.0,snow
NV,8,,02,38.1,35.0,snow
NV,8,,03,41.7,40.0,snow
NV,8,,04,41.9,41.5,snow
NV,8,,05,32.0,29.0,snow
NV,8,,06,7.4,0.0,snow
NV,9,,01,33.9,26.0,snow
NV,9,,02,43.5,42.0,snow
NV,9,,03,49.6,46.0,snow
NV,9,,04,50.4,47.0,snow
NV,9,,05,28.4,27.5,snow
NV,9,,06,7.6,0.0,snow
OR,3,,01,15.4,11.0,snow
OR,3,,02,18.5,8.5,snow
OR,3,,03,20.4,10.0,snow
OR,3,,04,16.8,1.0,snow
OR,3,,05,11.9,0.0,snow
OR,3,,06,2.0,0.0,snow
OR,4,,01,23.8,19.0,snow
OR,4,,02,28.2,21.0,snow
OR,4,,03,28.9,20.0,snow
OR,4,,04,28.8,11.5,snow
OR,4,,05,24.1,3.5,snow
OR,4,,06,7.0,0.0,snow
OR,5,,01,28.9,24.0,snow
OR,5,,02,35.2,29.0,snow
OR,5,,03,36.7,30.0,snow
OR,5,,04,39.5,31.0,snow
OR,5,,05,25.1,7.0,snow
OR,5,,06,7.9,0.0,snow
OR,6,,01,39.3,31.0,snow
OR,6,,02,41.3,35.0,snow
OR,6,,03,46.6,40.0,snow
OR,6,,04,55.3,50.0,snow
OR,6,,05,38.0,25.0,snow
OR,6,,06,8.6,0.0,snow
OR,7,,01,31.6,31.0,snow
OR,7,,02,37.2,35.0,snow
OR,7,,03,45.9,45.0,snow
OR,7,,04,53.3,50.0,snow
OR,7,,05,44.2,45.0,snow
OR,7,,06,17.5,0.0,snow
OR,8,,01,124.7,122.0,snow
OR,8,,02,169.0,169.0,snow
OR,8,,03,176.2,179.0,snow
OR,8,,04,177.7,181.5,snow
UT,10,,01,33.3,30.0,snow
UT,10,,02,40.2,38.0,snow
UT,10,,03,49.0,47.0,snow
UT,10,,04,47.6,47.0,snow
UT,10,,05,40.6,43.0,snow
UT,10,,06,15.5,5.0,snow
UT,5,,01,25.5,25.0,snow
UT,5,,02,29.5,23.0,snow
UT,5,,03,29.3,20.5,snow
UT,5,,04,18.2,1.0,snow
