state,el_level,year,month,mean,median,type
AZ,10,2000,01,1.6,1.6,water
AZ,10,2000,03,9.0,9.0,water
AZ,10,2000,04,16.6,16.6,water
AZ,10,2001,01,11.1,11.1,water
AZ,10,2001,03,18.6,18.6,water
AZ,10,2002,01,2.5,2.5,water
AZ,10,2002,02,2.4,2.4,water
AZ,10,2002,03,1.6,1.6,water
AZ,10,2003,01,3.6,3.6,water
AZ,10,2003,02,16.6,16.6,water
AZ,10,2003,03,17.8,17.8,water
AZ,10,2004,01,4.5,4.5,water
AZ,10,2004,03,9.1,9.1,water
AZ,10,2005,01,26.8,26.8,water
AZ,10,2005,02,36.6,36.6,water
AZ,10,2005,04,39.6,39.6,water
AZ,10,2006,01,1.4,1.4,water
AZ,10,2006,02,0.4,0.4,water
AZ,10,2006,03,5.8,5.8,water
AZ,10,2007,01,4.6,4.6,water
AZ,10,2007,02,9.2,9.2,water
AZ,10,2007,03,4.4,4.4,water
AZ,10,2008,02,24.7,24.7,water
AZ,10,2008,03,26.6,26.6,water
AZ,10,2009,01,14.2,14.2,water
AZ,10,2009,02,15.6,15.6,water
AZ,10,2009,03,17.4,17.4,water
AZ,10,2010,01,21.6,21.6,water
AZ,10,2010,02,21.6,21.6,water
AZ,10,2010,03,29.0,29.0,water
AZ,10,2012,01,7.2,7.2,water
AZ,10,2012,02,9.6,9.6,water
AZ,10,2012,03,10.4,10.4,water
AZ,10,2013,01,11.4,11.4,water
AZ,10,2013,02,13.6,13.6,water
AZ,10,2013,03,14.4,14.4,water
AZ,10,2014,01,5.4,5.4,water
AZ,10,2014,02,6.4,6.4,water
AZ,10,2014,04,7.6,7.6,water
AZ,10,2015,01,5.5,5.5,water
AZ,10,2015,02,9.6,9.6,water
AZ,10,2015,03,14.8,14.8,water
AZ,10,2016,01,9.6,9.6,water
AZ,10,2016,02,13.8,13.8,water
AZ,10,2016,04,10.6,10.6,water
AZ,6,2000,01,0.3,0.4,water
AZ,6,2000,02,0.0,0.0,water
AZ,6,2000,03,0.1,0.0,water
AZ,6,2000,04,0.0,0.0,water
AZ,6,2000,05,0.0,0.0,water
AZ,6,2000,06,0.0,0.0,water
AZ,6,2001,01,1.1,0.2,water
AZ,6,2001,02,4.2,4.2,water
AZ,6,2001,03,2.3,1.3,water
AZ,6,2001,04,0.0,0.0,water
AZ,6,2001,05,0.0,0.0,water
AZ,6,2001,06,0.0,0.0,water
AZ,6,2002,01,3.1,3.1,water
AZ,6,2002,02,1.0,0.4,water
AZ,6,2002,03,0.0,0.0,water
AZ,6,2002,04,0.0,0.0,water
AZ,6,2002,05,0.0,0.0,water
AZ,6,2002,06,0.0,0.0,water
AZ,6,2003,01,1.5,2.2,water
AZ,6,2003,02,0.9,0.9,water
AZ,6,2003,03,2.0,0.0,water
AZ,6,2003,04,0.0,0.0,water
AZ,6,2003,05,0.0,0.0,water
AZ,6,2003,06,0.0,0.0,water
AZ,6,2004,01,1.3,1.3,water
AZ,6,2004,02,3.1,2.7,water
AZ,6,2004,03,1.7,0.0,water
AZ,6,2004,04,0.0,0.0,water
AZ,6,2004,05,0.0,0.0,water
AZ,6,2004,06,0.0,0.0,water
AZ,6,2005,01,2.6,3.3,water
AZ,6,2005,02,3.9,4.0,water
AZ,6,2005,03,0.7,0.7,water
AZ,6,2005,04,0.0,0.0,water
AZ,6,2005,05,0.0,0.0,water
AZ,6,2005,06,0.0,0.0,water
AZ,6,2006,01,0.0,0.0,water
AZ,6,2006,02,0.0,0.0,water
AZ,6,2006,03,0.0,0.0,water
AZ,6,2006,04,0.7,0.7,water
AZ,6,2006,05,0.0,0.0,water
AZ,6,2006,06,0.0,0.0,water
AZ,6,2007,01,2.5,2.1,water
AZ,6,2007,02,5.5,5.5,water
AZ,6,2007,03,1.8,0.8,water
AZ,6,2007,04,0.0,0.0,water
AZ,6,2007,05,0.0,0.0,water
AZ,6,2007,06,0.0,0.0,water
AZ,6,2008,01,3.3,3.3,water
AZ,6,2008,02,6.4,6.5,water
AZ,6,2008,03,2.1,0.0,water
AZ,6,2008,04,0.0,0.0,water
AZ,6,2008,05,0.0,0.0,water
AZ,6,2008,06,0.0,0.0,water
AZ,6,2009,01,6.4,5.1,water
AZ,6,2009,02,7.1,6.3,water
AZ,6,2009,03,2.6,0.0,water
AZ,6,2009,04,0.0,0.0,water
AZ,6,2009,05,0.0,0.0,water
AZ,6,2009,06,0.0,0.0,water
AZ,6,2010,01,9.2,9.8,water
AZ,6,2010,02,12.9,12.0,water
AZ,6,2010,03,8.5,4.2,water
AZ,6,2010,04,5.4,5.4,water
AZ,6,2010,05,0.0,0.0,water
AZ,6,2010,06,0.0,0.0,water
AZ,6,2011,01,4.2,4.2,water
AZ,6,2011,02,4.9,4.9,water
AZ,6,2011,03,5.2,5.2,water
AZ,6,2011,04,0.0,0.0,water
AZ,6,2011,05,0.0,0.0,water
