state,el_level,year,month,mean,median,type
,10,,01,7.4,6.6,water
,10,,02,10.4,9.2,water
,10,,03,13.2,12.0,water
,10,,04,14.6,13.8,water
,10,,05,14.4,13.6,water
,10,,06,5.3,0.0,water
,3,,01,7.6,5.4,water
,3,,02,11.0,7.8,water
,3,,03,13.3,8.6,water
,3,,04,15.4,8.1,water
,3,,05,13.5,1.7,water
,3,,06,6.2,0.0,water
,4,,01,7.6,5.7,water
,4,,02,11.1,8.2,water
,4,,03,13.0,9.0,water
,4,,04,15.2,9.2,water
,4,,05,13.5,4.2,water
,4,,06,5.8,0.0,water
,5,,01,9.1,6.8,water
,5,,02,12.8,9.6,water
,5,,03,15.8,11.5,water
,5,,04,18.3,13.3,water
,5,,05,16.0,7.2,water
,5,,06,7.2,0.0,water
,6,,01,8.7,6.6,water
,6,,02,12.1,9.2,water
,6,,03,14.0,10.6,water
,6,,04,15.6,11.5,water
,6,,05,13.8,7.7,water
,6,,06,5.3,0.0,water
,7,,01,7.0,6.0,water
,7,,02,9.9,8.7,water
,7,,03,11.8,10.4,water
,7,,04,12.8,11.3,water
,7,,05,9.9,7.4,water
,7,,06,2.5,0.0,water
,8,,01,7.1,5.7,water
,8,,02,10.0,8.4,water
,8,,03,12.4,10.6,water
,8,,04,13.4,11.7,water
,8,,05,12.0,9.6,water
,8,,06,3.9,0.0,water
,9,,01,6.7,5.7,water
,9,,02,9.5,8.2,water
,9,,03,12.1,10.6,water
,9,,04,12.7,11.3,water
,9,,05,11.8,9.8,water
,9,,06,4.3,0.0,water
