date,value,anomaly,year,month,state,type
200001,45.8,5.1,2000,01,AZ,temp
200101,40.3,-0.4,2001,01,AZ,temp
200201,42.3,1.6,2002,01,AZ,temp
200301,48.8,8.1,2003,01,AZ,temp
200401,42.8,2.1,2004,01,AZ,temp
200501,45.2,4.5,2005,01,AZ,temp
200601,44.1,3.4,2006,01,AZ,temp
200701,39.0,-1.7,2007,01,AZ,temp
200801,39.8,-0.9,2008,01,AZ,temp
200901,45.2,4.5,2009,01,AZ,temp
201001,42.2,1.5,2010,01,AZ,temp
201101,41.5,0.8,2011,01,AZ,temp
201201,45.3,4.6,2012,01,AZ,temp
201301,38.6,-2.1,2013,01,AZ,temp
201401,46.5,5.8,2014,01,AZ,temp
201501,45.1,4.4,2015,01,AZ,temp
201601,41.9,1.2,2016,01,AZ,temp
200002,48.4,3.7,2000,02,AZ,temp
200102,44.2,-0.5,2001,02,AZ,temp
200202,46.2,1.5,2002,02,AZ,temp
200302,45.5,0.8,2003,02,AZ,temp
200402,42.1,-2.6,2004,02,AZ,temp
200502,46.2,1.5,2005,02,AZ,temp
200602,47.8,3.1,2006,02,AZ,temp
200702,46.7,2.0,2007,02,AZ,temp
200802,45.1,0.4,2008,02,AZ,temp
200902,46.6,1.9,2009,02,AZ,temp
201002,44.3,-0.4,2010,02,AZ,temp
201102,41.7,-3.0,2011,02,AZ,temp
201202,45.6,0.9,2012,02,AZ,temp
201302,42.2,-2.5,2013,02,AZ,temp
201402,50.0,5.3,2014,02,AZ,temp
201502,52.0,7.3,2015,02,AZ,temp
201602,50.5,5.8,2016,02,AZ,temp
200003,50.5,1.0,2000,03,AZ,temp
200103,51.8,2.3,2001,03,AZ,temp
200203,49.8,0.3,2002,03,AZ,temp
200303,50.6,1.1,2003,03,AZ,temp
200403,58.1,8.6,2004,03,AZ,temp
200503,49.9,0.4,2005,03,AZ,temp
200603,48.3,-1.2,2006,03,AZ,temp
200703,54.5,5.0,2007,03,AZ,temp
200803,51.8,2.3,2008,03,AZ,temp
200903,52.5,3.0,2009,03,AZ,temp
201003,49.2,-0.3,2010,03,AZ,temp
201103,53.3,3.8,2011,03,AZ,temp
201203,51.6,2.1,2012,03,AZ,temp
201303,54.8,5.3,2013,03,AZ,temp
201403,53.9,4.4,2014,03,AZ,temp
201503,56.3,6.8,2015,03,AZ,temp
201603,54.9,5.4,2016,03,AZ,temp
200004,61.9,5.2,2000,04,AZ,temp
200104,57.5,0.8,2001,04,AZ,temp
200204,62.0,5.3,2002,04,AZ,temp
200304,55.6,-1.1,2003,04,AZ,temp
200404,57.9,1.2,2004,04,AZ,temp
200504,57.2,0.5,2005,04,AZ,temp
200604,59.0,2.3,2006,04,AZ,temp
200704,59.3,2.6,2007,04,AZ,temp
200804,58.0,1.3,2008,04,AZ,temp
200904,57.0,0.3,2009,04,AZ,temp
201004,56.1,-0.6,2010,04,AZ,temp
201104,58.9,2.2,2011,04,AZ,temp
201204,60.6,3.9,2012,04,AZ,temp
201304,59.4,2.7,2013,04,AZ,temp
201404,59.1,2.4,2014,04,AZ,temp
201504,58.4,1.7,2015,04,AZ,temp
201604,58.5,1.8,2016,04,AZ,temp
200005,71.2,6.1,2000,05,AZ,temp
200105,70.8,5.7,2001,05,AZ,temp
200205,67.0,1.9,2002,05,AZ,temp
200305,68.3,3.2,2003,05,AZ,temp
200405,68.4,3.3,2004,05,AZ,temp
200505,67.9,2.8,2005,05,AZ,temp
200605,70.0,4.9,2006,05,AZ,temp
200705,68.4,3.3,2007,05,AZ,temp
200805,63.6,-1.5,2008,05,AZ,temp
200905,70.8,5.7,2009,05,AZ,temp
201005,63.1,-2.0,2010,05,AZ,temp
201105,63.3,-1.8,2011,05,AZ,temp
201205,69.3,4.2,2012,05,AZ,temp
201305,67.4,2.3,2013,05,AZ,temp
201405,66.8,1.7,2014,05,AZ,temp
201505,62.9,-2.2,2015,05,AZ,temp
201605,64.7,-0.4,2016,05,AZ,temp
200006,77.8,3.4,2000,06,AZ,temp
200106,77.5,3.1,2001,06,AZ,temp
200206,78.8,4.4,2002,06,AZ,temp
200306,76.3,1.9,2003,06,AZ,temp
200406,75.9,1.5,2004,06,AZ,temp
200506,74.4,0.0,2005,06,AZ,temp
200606,79.5,5.1,2006,06,AZ,temp
200706,77.3,2.9,2007,06,AZ,temp
200806,77.3,2.9,2008,06,AZ,temp
200906,73.0,-1.4,2009,06,AZ,temp
201006,75.9,1.5,2010,06,AZ,temp
201106,75.7,1.3,2011,06,AZ,temp
201206,78.7,4.3,2012,06,AZ,temp
201306,79.5,5.1,2013,06,AZ,temp
201406,77.7,3.3,2014,06,AZ,temp
201506,78.4,4.0,2015,06,AZ,temp
201606,80.3,5.9,2016,06,AZ,temp
200001,45.8,3.5,2000,01,CA,temp
200101,42.3,0.0,2001,01,CA,temp
200201,42.4,0.1,2002,01,CA,temp
200301,50.0,7.7,2003,01,CA,temp
200401,43.5,1.2,2004,01,CA,temp
200501,44.1,1.8,2005,01,CA,temp
200601,44.6,2.3,2006,01,CA,temp
200701,41.5,-0.8,2007,01,CA,temp
200801,41.1,-1.2,2008,01,CA,temp
200901,46.9,4.6,2009,01,CA,temp
201001,45.2,2.9,2010,01,CA,temp
201101,45.2,2.9,2011,01,CA,temp
201201,46.5,4.2,2012,01,CA,temp
201301,42.1,-0.2,2013,01,CA,temp
201401,50.1,7.8,2014,01,CA,temp
201501,48.6,6.3,2015,01,CA,temp
201601,44.5,2.2,2016,01,CA,temp
