state,el_level,year,month,mean,median,type
AZ,10,,01,7.9,5.5,water
AZ,10,,02,14.6,13.7,water
AZ,10,,03,13.8,14.4,water
AZ,10,,04,18.6,13.6,water
AZ,6,,01,2.6,2.0,water
AZ,6,,02,3.2,1.7,water
AZ,6,,03,1.5,0.0,water
AZ,6,,04,0.3,0.0,water
AZ,6,,05,0.0,0.0,water
AZ,6,,06,0.0,0.0,water
AZ,7,,01,2.6,2.1,water
AZ,7,,02,3.8,2.7,water
AZ,7,,03,3.5,1.1,water
AZ,7,,04,1.7,0.0,water
AZ,7,,05,0.1,0.0,water
AZ,7,,06,0.0,0.0,water
AZ,8,,01,3.4,2.8,water
AZ,8,,02,4.3,3.2,water
AZ,8,,03,3.9,1.6,water
AZ,8,,04,2.9,0.0,water
AZ,8,,05,0.4,0.0,water
AZ,8,,06,0.0,0.0,water
AZ,9,,01,4.6,4.0,water
AZ,9,,02,7.2,6.3,water
AZ,9,,03,7.9,7.0,water
AZ,9,,04,6.3,1.9,water
AZ,9,,05,1.6,0.0,water
AZ,9,,06,0.1,0.0,water
CA,10,,01,12.3,13.1,water
CA,10,,02,16.7,15.8,water
CA,10,,03,18.9,17.5,water
CA,10,,04,18.4,16.2,water
CA,10,,05,19.0,23.3,water
CA,4,,01,3.4,3.2,water
CA,4,,02,4.0,2.5,water
CA,4,,03,3.0,1.4,water
CA,4,,04,1.0,0.0,water
CA,4,,05,0.0,0.0,water
CA,5,,01,7.0,4.2,water
CA,5,,02,7.9,5.5,water
CA,5,,03,8.7,5.0,water
CA,5,,04,2.5,0.0,water
CA,5,,05,1.3,0.0,water
CA,5,,06,0.0,0.0,water
CA,6,,01,11.1,8.1,water
CA,6,,02,16.1,13.2,water
CA,6,,03,18.6,15.7,water
CA,6,,04,14.7,11.0,water
CA,6,,05,11.0,0.0,water
CA,6,,06,1.3,0.0,water
CA,7,,01,13.0,10.4,water
CA,7,,02,18.3,16.1,water
CA,7,,03,21.5,19.1,water
CA,7,,04,21.9,18.0,water
CA,7,,05,13.9,11.3,water
CA,7,,06,3.2,0.0,water
CA,8,,01,13.6,12.7,water
CA,8,,02,20.6,19.5,water
CA,8,,03,24.1,22.7,water
CA,8,,04,25.5,22.5,water
CA,8,,05,22.1,19.0,water
CA,8,,06,8.6,0.0,water
CA,9,,01,13.4,11.9,water
CA,9,,02,17.5,16.0,water
CA,9,,03,21.6,19.7,water
CA,9,,04,23.8,19.8,water
CA,9,,05,23.2,17.3,water
CA,9,,06,12.2,0.0,water
CO,10,,01,7.3,6.7,water
CO,10,,02,10.3,9.3,water
CO,10,,03,13.1,12.1,water
CO,10,,04,14.4,13.8,water
CO,10,,05,14.4,13.6,water
CO,10,,06,4.7,0.0,water
CO,7,,01,7.8,7.5,water
CO,7,,02,10.9,10.6,water
CO,7,,03,11.9,12.0,water
CO,7,,04,7.4,7.8,water
CO,8,,01,5.0,4.4,water
CO,8,,02,7.3,6.7,water
CO,8,,03,8.5,7.8,water
CO,8,,04,6.2,4.2,water
CO,8,,05,4.3,0.0,water
CO,8,,06,0.2,0.0,water
CO,9,,01,5.8,5.4,water
CO,9,,02,8.3,7.7,water
CO,9,,03,10.3,9.6,water
CO,9,,04,9.6,9.2,water
CO,9,,05,10.0,8.3,water
CO,9,,06,1.8,0.0,water
ID,3,,01,3.6,3.0,water
ID,3,,02,6.0,5.3,water
ID,3,,03,6.5,5.5,water
ID,3,,04,4.8,0.6,water
ID,3,,05,1.9,0.0,water
ID,3,,06,0.0,0.0,water
ID,4,,01,5.7,5.1,water
ID,4,,02,9.1,7.7,water
ID,4,,03,11.2,8.9,water
ID,4,,04,12.0,9.0,water
ID,4,,05,8.0,1.7,water
ID,4,,06,0.7,0.0,water
ID,5,,01,9.2,7.8,water
ID,5,,02,12.9,10.1,water
ID,5,,03,15.8,12.4,water
ID,5,,04,17.6,13.4,water
ID,5,,05,16.5,10.8,water
ID,5,,06,6.4,0.0,water
ID,6,,01,8.8,7.6,water
ID,6,,02,12.7,11.0,water
ID,6,,03,14.5,12.2,water
ID,6,,04,16.9,14.4,water
ID,6,,05,13.6,8.6,water
ID,6,,06,5.2,0.0,water
ID,7,,01,8.3,7.7,water
ID,7,,02,12.3,11.1,water
ID,7,,03,14.2,12.7,water
ID,7,,04,16.8,15.5,water
ID,7,,05,12.5,10.7,water
ID,7,,06,2.8,0.0,water
ID,8,,01,9.6,9.6,water
ID,8,,02,13.1,12.9,water
ID,8,,03,15.2,14.8,water
ID,8,,04,19.7,18.5,water
ID,8,,05,18.1,17.1,water
ID,8,,06,6.3,0.0,water
ID,9,,01,7.4,7.1,water
ID,9,,02,10.4,9.8,water
ID,9,,03,12.9,12.2,water
ID,9,,04,17.2,16.2,water
ID,9,,05,16.5,16.7,water
ID,9,,06,6.3,4.0,water
MT,3,,01,8.1,8.2,water
MT,3,,02,9.0,8.8,water
MT,3,,03,9.3,8.9,water
MT,3,,04,4.5,2.3,water
MT,3,,05,10.2,11.6,water
MT,4,,01,4.5,3.6,water
MT,4,,02,7.4,5.8,water
MT,4,,03,8.1,6.1,water
MT,4,,04,7.0,4.4,water
MT,4,,05,3.1,0.0,water
MT,4,,06,0.1,0.0,water
MT,5,,01,7.2,5.0,water
MT,5,,02,10.3,7.8,water
MT,5,,03,13.5,9.8,water
MT,5,,04,15.0,11.5,water
MT,5,,05,9.7,5.0,water
MT,5,,06,1.2,0.0,water
