state,el_level,year,month,mean,median,type
,10,,01,32.8,30.0,snow
,10,,02,42.7,39.0,snow
,10,,03,48.0,46.0,snow
,10,,04,44.8,44.0,snow
,10,,05,40.5,37.0,snow
,10,,06,14.1,1.0,snow
,3,,01,26.5,21.0,snow
,3,,02,32.0,25.0,snow
,3,,03,34.6,24.0,snow
,3,,04,35.0,17.0,snow
,3,,05,28.1,1.0,snow
,3,,06,11.5,0.0,snow
,4,,01,27.4,23.0,snow
,4,,02,34.6,28.0,snow
,4,,03,36.3,29.0,snow
,4,,04,36.4,24.0,snow
,4,,05,28.6,9.0,snow
,4,,06,11.5,0.0,snow
,5,,01,32.7,27.0,snow
,5,,02,40.6,33.0,snow
,5,,03,44.9,35.0,snow
,5,,04,46.2,36.0,snow
,5,,05,35.7,18.0,snow
,5,,06,13.9,0.0,snow
,6,,01,32.7,27.0,snow
,6,,02,40.3,34.0,snow
,6,,03,41.4,34.0,snow
,6,,04,41.4,32.0,snow
,6,,05,34.2,21.5,snow
,6,,06,12.2,0.0,snow
,7,,01,28.5,26.0,snow
,7,,02,35.6,34.0,snow
,7,,03,37.7,36.0,snow
,7,,04,36.4,34.0,snow
,7,,05,26.4,21.0,snow
,7,,06,6.9,0.0,snow
,8,,01,29.9,26.0,snow
,8,,02,37.1,35.0,snow
,8,,03,41.1,39.0,snow
,8,,04,38.7,36.0,snow
,8,,05,31.6,27.0,snow
,8,,06,9.9,0.0,snow
,9,,01,29.7,26.0,snow
,9,,02,37.7,35.0,snow
,9,,03,42.5,40.0,snow
,9,,04,37.5,35.0,snow
,9,,05,32.5,27.0,snow
,9,,06,10.9,0.0,snow
,10,,01,7.4,6.6,water
,10,,02,10.4,9.2,water
,10,,03,13.2,12.0,water
,10,,04,14.6,13.8,water
,10,,05,14.4,13.6,water
,10,,06,5.3,0.0,water
,3,,01,7.6,5.4,water
,3,,02,11.0,7.8,water
,3,,03,13.3,8.6,water
,3,,04,15.4,8.1,water
,3,,05,13.5,1.7,water
,3,,06,6.2,0.0,water
,4,,01,7.6,5.7,water
,4,,02,11.1,8.2,water
,4,,03,13.0,9.0,water
,4,,04,15.2,9.2,water
,4,,05,13.5,4.2,water
,4,,06,5.8,0.0,water
,5,,01,9.1,6.8,water
,5,,02,12.8,9.6,water
,5,,03,15.8,11.5,water
,5,,04,18.3,13.3,water
,5,,05,16.0,7.2,water
,5,,06,7.2,0.0,water
,6,,01,8.7,6.6,water
,6,,02,12.1,9.2,water
,6,,03,14.0,10.6,water
,6,,04,15.6,11.5,water
,6,,05,13.8,7.7,water
,6,,06,5.3,0.0,water
,7,,01,7.0,6.0,water
,7,,02,9.9,8.7,water
,7,,03,11.8,10.4,water
,7,,04,12.8,11.3,water
,7,,05,9.9,7.4,water
,7,,06,2.5,0.0,water
,8,,01,7.1,5.7,water
,8,,02,10.0,8.4,water
,8,,03,12.4,10.6,water
,8,,04,13.4,11.7,water
,8,,05,12.0,9.6,water
,8,,06,3.9,0.0,water
,9,,01,6.7,5.7,water
,9,,02,9.5,8.2,water
,9,,03,12.1,10.6,water
,9,,04,12.7,11.3,water
,9,,05,11.8,9.8,water
,9,,06,4.3,0.0,water
