state,el_level,year,month,mean,median,type
AZ,10,2000,01,8.5,8.5,snow
AZ,10,2000,03,40.0,40.0,snow
AZ,10,2000,04,53.0,53.0,snow
AZ,10,2001,01,43.0,43.0,snow
AZ,10,2001,03,62.0,62.0,snow
AZ,10,2002,01,16.0,16.0,snow
AZ,10,2002,02,11.0,11.0,snow
AZ,10,2002,03,6.0,6.0,snow
AZ,10,2003,01,20.0,20.0,snow
AZ,10,2003,02,68.0,68.0,snow
AZ,10,2003,03,65.0,65.0,snow
AZ,10,2004,01,21.0,21.0,snow
AZ,10,2004,03,35.5,35.5,snow
AZ,10,2005,01,95.0,95.0,snow
AZ,10,2005,02,112.0,112.0,snow
AZ,10,2005,04,107.0,107.0,snow
AZ,10,2006,01,6.0,6.0,snow
AZ,10,2006,02,1.0,1.0,snow
AZ,10,2006,03,28.0,28.0,snow
AZ,10,2007,01,24.0,24.0,snow
AZ,10,2007,02,32.0,32.0,snow
AZ,10,2007,03,21.0,21.0,snow
AZ,10,2008,02,75.0,75.0,snow
AZ,10,2008,03,75.0,75.0,snow
AZ,10,2009,01,43.0,43.0,snow
AZ,10,2009,02,56.0,56.0,snow
AZ,10,2009,03,44.0,44.0,snow
AZ,10,2010,01,76.0,76.0,snow
AZ,10,2010,02,69.0,69.0,snow
AZ,10,2010,03,74.0,74.0,snow
AZ,10,2012,01,24.0,24.0,snow
AZ,10,2012,02,38.0,38.0,snow
AZ,10,2012,03,32.0,32.0,snow
AZ,10,2013,01,48.0,48.0,snow
AZ,10,2013,02,46.0,46.0,snow
AZ,10,2013,03,48.0,48.0,snow
AZ,10,2014,01,20.0,20.0,snow
AZ,10,2014,02,22.0,22.0,snow
AZ,10,2014,04,25.0,25.0,snow
AZ,10,2015,01,20.0,20.0,snow
AZ,10,2015,02,38.0,38.0,snow
AZ,10,2015,03,44.0,44.0,snow
AZ,10,2016,01,42.0,42.0,snow
AZ,10,2016,02,44.0,44.0,snow
AZ,10,2016,04,44.0,44.0,snow
AZ,6,2000,01,4.0,4.0,snow
AZ,6,2000,02,0.0,0.0,snow
AZ,6,2000,03,0.0,0.0,snow
AZ,6,2000,04,0.0,0.0,snow
AZ,6,2001,01,7.0,7.0,snow
AZ,6,2001,02,10.0,10.0,snow
AZ,6,2001,03,3.0,0.0,snow
AZ,6,2002,02,1.3,0.5,snow
AZ,6,2002,03,0.0,0.0,snow
AZ,6,2003,01,3.8,3.5,snow
AZ,6,2003,02,5.0,7.0,snow
AZ,6,2003,03,0.0,0.0,snow
AZ,6,2003,06,0.0,0.0,snow
AZ,6,2004,01,4.7,5.0,snow
AZ,6,2004,02,8.7,8.0,snow
AZ,6,2004,03,4.3,0.0,snow
AZ,6,2004,05,0.0,0.0,snow
AZ,6,2005,01,6.0,7.0,snow
AZ,6,2005,02,10.3,8.0,snow
AZ,6,2005,03,2.0,2.0,snow
AZ,6,2005,04,1.0,1.0,snow
AZ,6,2005,05,1.0,1.0,snow
AZ,6,2005,06,0.0,0.0,snow
AZ,6,2006,01,0.0,0.0,snow
AZ,6,2006,02,0.0,0.0,snow
AZ,6,2006,03,0.0,0.0,snow
AZ,6,2006,04,1.0,1.0,snow
AZ,6,2006,05,0.0,0.0,snow
AZ,6,2007,01,10.0,8.0,snow
AZ,6,2007,02,20.5,20.5,snow
AZ,6,2007,03,4.8,2.0,snow
AZ,6,2007,04,2.0,2.0,snow
AZ,6,2007,05,0.0,0.0,snow
AZ,6,2007,06,0.0,0.0,snow
AZ,6,2008,01,14.0,14.0,snow
AZ,6,2008,02,18.8,19.5,snow
AZ,6,2008,03,4.0,0.0,snow
AZ,6,2008,05,1.0,1.0,snow
AZ,6,2009,01,18.3,16.0,snow
AZ,6,2009,02,14.3,14.0,snow
AZ,6,2009,03,5.7,0.0,snow
AZ,6,2009,04,5.0,5.0,snow
AZ,6,2009,05,0.0,0.0,snow
AZ,6,2009,06,3.0,3.0,snow
AZ,6,2010,01,29.7,34.0,snow
AZ,6,2010,02,37.7,34.0,snow
AZ,6,2010,03,19.3,10.0,snow
AZ,6,2010,04,11.0,11.0,snow
AZ,6,2010,05,3.0,3.0,snow
AZ,6,2010,06,4.0,4.0,snow
AZ,6,2011,01,22.0,22.0,snow
AZ,6,2011,02,16.0,16.0,snow
AZ,6,2011,03,16.0,16.0,snow
AZ,6,2011,04,0.0,0.0,snow
AZ,6,2011,05,0.0,0.0,snow
AZ,6,2011,06,0.0,0.0,snow
AZ,6,2012,01,11.3,9.0,snow
AZ,6,2012,02,8.0,6.0,snow
AZ,6,2012,03,1.3,0.0,snow
AZ,6,2012,04,0.0,0.0,snow
AZ,6,2012,05,0.0,0.0,snow
AZ,6,2012,06,0.0,0.0,snow
AZ,6,2013,01,14.8,13.5,snow
AZ,6,2013,02,8.0,7.5,snow
AZ,6,2013,03,4.0,1.0,snow
AZ,6,2013,04,0.0,0.0,snow
AZ,6,2013,05,0.0,0.0,snow
AZ,6,2013,06,0.0,0.0,snow
AZ,6,2014,01,5.8,4.0,snow
AZ,6,2014,02,1.8,0.5,snow
AZ,6,2014,03,0.5,0.5,snow
AZ,6,2014,04,0.0,0.0,snow
AZ,6,2014,05,0.0,0.0,snow
AZ,6,2014,06,0.0,0.0,snow
AZ,6,2015,01,7.0,5.0,snow
AZ,6,2015,02,0.5,0.0,snow
AZ,6,2015,03,0.0,0.0,snow
AZ,6,2015,04,0.0,0.0,snow
AZ,6,2015,05,0.0,0.0,snow
AZ,6,2015,06,0.0,0.0,snow
AZ,6,2016,01,11.0,11.5,snow
AZ,6,2016,02,8.5,5.0,snow
AZ,6,2016,03,0.0,0.0,snow
AZ,6,2016,04,0.0,0.0,snow
AZ,6,2016,05,0.0,0.0,snow
AZ,6,2016,06,0.0,0.0,snow
AZ,7,2000,01,3.2,3.0,snow
AZ,7,2000,02,1.4,0.0,snow
AZ,7,2000,03,2.9,1.0,snow
AZ,7,2000,04,0.0,0.0,snow
AZ,7,2001,01,7.2,6.0,snow
AZ,7,2001,02,18.6,16.5,snow
AZ,7,2001,03,10.4,8.0,snow
AZ,7,2001,04,4.8,1.0,snow
AZ,7,2001,05,8.0,8.0,snow
AZ,7,2001,06,6.0,6.0,snow
AZ,7,2002,01,7.8,8.0,snow
AZ,7,2002,02,3.5,2.0,snow
AZ,7,2002,03,0.5,0.0,snow
AZ,7,2002,04,0.0,0.0,snow
AZ,7,2002,05,0.0,0.0,snow
AZ,7,2002,06,0.0,0.0,snow
AZ,7,2003,01,6.2,8.0,snow
AZ,7,2003,02,8.7,6.0,snow
AZ,7,2003,03,19.1,15.0,snow
AZ,7,2003,04,2.0,1.5,snow
AZ,7,2003,05,1.5,1.0,snow
AZ,7,2003,06,0.2,0.0,snow
AZ,7,2004,01,4.9,4.0,snow
AZ,7,2004,02,11.4,11.0,snow
AZ,7,2004,03,11.3,10.0,snow
AZ,7,2004,04,0.5,0.5,snow
AZ,7,2004,05,0.6,0.5,snow
AZ,7,2004,06,0.8,0.0,snow
AZ,7,2005,01,9.4,7.5,snow
AZ,7,2005,02,18.5,16.0,snow
AZ,7,2005,03,19.3,16.5,snow
AZ,7,2005,04,13.6,8.0,snow
AZ,7,2005,05,0.2,0.0,snow
AZ,7,2005,06,0.3,0.0,snow
AZ,7,2006,01,0.2,0.0,snow
AZ,7,2006,02,0.4,0.0,snow
AZ,7,2006,03,1.8,0.0,snow
AZ,7,2006,04,1.2,0.0,snow
AZ,7,2006,05,0.0,0.0,snow
AZ,7,2006,06,0.0,0.0,snow
AZ,7,2007,01,8.5,8.0,snow
AZ,7,2007,02,16.4,15.5,snow
AZ,7,2007,03,7.5,5.0,snow
AZ,7,2007,04,0.6,0.0,snow
AZ,7,2007,05,0.3,0.0,snow
AZ,7,2007,06,0.0,0.0,snow
AZ,7,2008,01,13.0,11.0,snow
AZ,7,2008,02,27.1,28.0,snow
AZ,7,2008,03,16.4,15.0,snow
AZ,7,2008,04,5.9,1.0,snow
AZ,7,2008,05,0.4,0.0,snow
AZ,7,2008,06,0.0,0.0,snow
AZ,7,2009,01,19.2,19.0,snow
AZ,7,2009,02,14.2,11.5,snow
AZ,7,2009,03,10.2,7.5,snow
AZ,7,2009,04,0.9,1.0,snow
AZ,7,2009,05,0.9,0.0,snow
AZ,7,2009,06,0.3,0.0,snow
AZ,7,2010,01,26.9,24.0,snow
AZ,7,2010,02,41.3,39.5,snow
AZ,7,2010,03,36.7,38.5,snow
AZ,7,2010,04,30.1,23.5,snow
AZ,7,2010,05,4.0,1.0,snow
AZ,7,2010,06,0.2,0.0,snow
AZ,7,2011,01,24.1,23.5,snow
AZ,7,2011,02,11.7,10.5,snow
AZ,7,2011,03,18.9,15.0,snow
AZ,7,2011,04,3.5,0.0,snow
AZ,7,2011,05,0.0,0.0,snow
AZ,7,2011,06,0.0,0.0,snow
AZ,7,2012,01,10.1,8.0,snow
AZ,7,2012,02,9.5,7.5,snow
AZ,7,2012,03,7.2,3.0,snow
AZ,7,2012,04,2.4,0.0,snow
AZ,7,2012,05,0.0,0.0,snow
AZ,7,2012,06,0.0,0.0,snow
AZ,7,2013,01,15.9,18.0,snow
AZ,7,2013,02,11.8,10.0,snow
AZ,7,2013,03,11.2,10.0,snow
AZ,7,2013,04,2.5,0.0,snow
AZ,7,2013,05,0.0,0.0,snow
AZ,7,2013,06,0.0,0.0,snow
AZ,7,2014,01,6.5,6.0,snow
AZ,7,2014,02,4.2,2.0,snow
AZ,7,2014,03,1.0,0.0,snow
AZ,7,2014,04,0.7,0.0,snow
AZ,7,2014,05,0.0,0.0,snow
AZ,7,2014,06,0.0,0.0,snow
AZ,7,2015,01,8.6,7.5,snow
AZ,7,2015,02,2.8,2.5,snow
AZ,7,2015,03,2.6,1.5,snow
AZ,7,2015,04,0.0,0.0,snow
AZ,7,2015,05,0.0,0.0,snow
AZ,7,2015,06,0.0,0.0,snow
AZ,7,2016,01,11.3,10.0,snow
AZ,7,2016,02,15.6,16.5,snow
AZ,7,2016,03,3.8,0.0,snow
AZ,7,2016,04,1.1,0.0,snow
AZ,7,2016,05,0.5,0.0,snow
AZ,7,2016,06,0.0,0.0,snow
AZ,8,2000,01,6.0,5.0,snow
AZ,8,2000,02,6.3,3.0,snow
AZ,8,2000,03,9.6,10.0,snow
AZ,8,2001,01,11.4,9.5,snow
AZ,8,2001,02,23.7,26.0,snow
AZ,8,2001,03,16.5,15.0,snow
AZ,8,2002,01,14.0,14.0,snow
AZ,8,2002,02,9.4,11.0,snow
AZ,8,2002,03,1.7,0.0,snow
AZ,8,2003,01,9.1,10.5,snow
AZ,8,2003,02,25.3,25.5,snow
AZ,8,2003,03,21.0,18.0,snow
AZ,8,2003,04,3.7,0.0,snow
AZ,8,2004,01,13.4,15.5,snow
AZ,8,2004,02,20.1,24.0,snow
AZ,8,2004,03,1.9,0.0,snow
AZ,8,2004,06,0.0,0.0,snow
AZ,8,2005,01,19.4,16.0,snow
AZ,8,2005,02,13.3,12.0,snow
AZ,8,2005,03,26.2,22.5,snow
AZ,8,2005,04,27.3,28.0,snow
AZ,8,2005,05,1.0,1.0,snow
AZ,8,2005,06,0.0,0.0,snow
AZ,8,2006,01,3.0,2.0,snow
AZ,8,2006,02,1.4,0.0,snow
AZ,8,2006,03,6.0,4.0,snow
AZ,8,2006,04,0.0,0.0,snow
AZ,8,2006,05,0.0,0.0,snow
AZ,8,2006,06,0.0,0.0,snow
AZ,8,2007,01,12.5,12.5,snow
AZ,8,2007,02,15.1,15.5,snow
AZ,8,2007,03,3.8,3.5,snow
AZ,8,2007,04,0.3,0.0,snow
AZ,8,2007,05,0.0,0.0,snow
AZ,8,2008,01,22.3,20.0,snow
AZ,8,2008,02,37.1,35.0,snow
AZ,8,2008,03,20.2,17.5,snow
AZ,8,2008,04,19.5,19.5,snow
AZ,8,2009,01,17.3,17.0,snow
AZ,8,2009,02,13.1,6.0,snow
AZ,8,2009,03,10.6,5.0,snow
AZ,8,2009,04,8.3,2.0,snow
AZ,8,2009,05,0.0,0.0,snow
AZ,8,2009,06,0.0,0.0,snow
AZ,8,2010,01,36.2,42.0,snow
AZ,8,2010,02,45.9,45.5,snow
AZ,8,2010,03,53.7,40.5,snow
AZ,8,2010,04,65.0,15.0,snow
AZ,8,2010,05,59.7,0.0,snow
AZ,8,2010,06,0.0,0.0,snow
AZ,8,2011,01,19.7,18.0,snow
AZ,8,2011,02,8.3,5.0,snow
AZ,8,2011,03,13.0,0.0,snow
AZ,8,2011,04,7.7,0.0,snow
AZ,8,2011,05,0.0,0.0,snow
AZ,8,2011,06,0.0,0.0,snow
AZ,8,2012,01,11.8,11.0,snow
AZ,8,2012,02,12.1,10.0,snow
AZ,8,2012,03,5.9,1.5,snow
AZ,8,2012,04,5.7,1.0,snow
AZ,8,2012,05,0.0,0.0,snow
AZ,8,2012,06,0.0,0.0,snow
AZ,8,2013,01,14.7,15.0,snow
AZ,8,2013,02,16.7,19.5,snow
AZ,8,2013,03,9.4,7.5,snow
AZ,8,2013,04,1.2,0.0,snow
AZ,8,2013,05,0.0,0.0,snow
AZ,8,2013,06,0.0,0.0,snow
AZ,8,2014,01,4.7,2.0,snow
AZ,8,2014,02,4.3,2.0,snow
AZ,8,2014,03,1.7,0.0,snow
AZ,8,2014,04,0.0,0.0,snow
AZ,8,2014,05,0.0,0.0,snow
AZ,8,2014,06,0.0,0.0,snow
AZ,8,2015,01,6.9,7.5,snow
AZ,8,2015,02,8.1,8.0,snow
AZ,8,2015,03,2.6,0.0,snow
AZ,8,2015,04,0.0,0.0,snow
AZ,8,2015,05,0.0,0.0,snow
AZ,8,2015,06,0.0,0.0,snow
AZ,8,2016,01,18.0,19.5,snow
AZ,8,2016,02,16.3,18.0,snow
AZ,8,2016,03,5.9,0.0,snow
AZ,8,2016,04,2.5,1.5,snow
AZ,8,2016,05,1.0,0.5,snow
AZ,8,2016,06,0.0,0.0,snow
AZ,9,2000,01,9.7,6.0,snow
AZ,9,2000,02,7.5,5.5,snow
AZ,9,2000,03,16.3,19.0,snow
AZ,9,2000,04,45.0,45.0,snow
AZ,9,2000,05,2.0,2.0,snow
AZ,9,2000,06,0.0,0.0,snow
AZ,9,2001,01,24.5,24.5,snow
AZ,9,2001,02,86.5,86.5,snow
AZ,9,2001,03,56.5,33.0,snow
AZ,9,2001,04,44.0,44.0,snow
AZ,9,2001,05,25.0,25.0,snow
AZ,9,2001,06,1.0,1.0,snow
AZ,9,2002,01,19.3,19.0,snow
AZ,9,2002,02,19.0,15.0,snow
AZ,9,2002,03,7.0,6.0,snow
AZ,9,2002,04,1.0,1.0,snow
AZ,9,2002,05,0.0,0.0,snow
AZ,9,2002,06,0.0,0.0,snow
AZ,9,2003,01,17.1,16.0,snow
AZ,9,2003,02,22.8,22.0,snow
AZ,9,2003,03,38.0,37.5,snow
AZ,9,2003,04,26.5,24.0,snow
AZ,9,2003,05,6.3,0.5,snow
AZ,9,2003,06,0.3,0.0,snow
AZ,9,2004,01,12.0,9.0,snow
AZ,9,2004,02,24.3,24.0,snow
AZ,9,2004,03,23.8,22.5,snow
AZ,9,2004,04,5.5,1.5,snow
AZ,9,2004,05,2.0,1.0,snow
AZ,9,2004,06,0.3,0.0,snow
AZ,9,2005,01,24.1,24.0,snow
AZ,9,2005,02,60.5,40.5,snow
AZ,9,2005,03,52.1,42.0,snow
AZ,9,2005,04,50.6,42.0,snow
AZ,9,2005,05,25.0,0.0,snow
AZ,9,2005,06,1.3,0.0,snow
AZ,9,2006,01,1.6,0.0,snow
AZ,9,2006,02,4.4,3.0,snow
AZ,9,2006,03,3.2,2.0,snow
AZ,9,2006,04,8.7,3.0,snow
AZ,9,2006,05,0.0,0.0,snow
AZ,9,2006,06,0.0,0.0,snow
AZ,9,2007,01,12.2,12.0,snow
AZ,9,2007,02,26.2,27.0,snow
AZ,9,2007,03,20.8,20.5,snow
AZ,9,2007,04,6.8,5.5,snow
AZ,9,2007,05,1.0,1.0,snow
AZ,9,2007,06,0.5,0.5,snow
AZ,9,2008,01,25.2,23.0,snow
AZ,9,2008,02,47.0,45.0,snow
AZ,9,2008,03,48.4,46.0,snow
AZ,9,2008,04,28.8,21.0,snow
AZ,9,2008,05,6.3,0.5,snow
AZ,9,2008,06,0.0,0.0,snow
AZ,9,2009,01,33.7,30.0,snow
AZ,9,2009,02,32.4,28.0,snow
AZ,9,2009,03,30.0,25.0,snow
AZ,9,2009,04,18.0,11.0,snow
AZ,9,2009,05,3.7,0.0,snow
AZ,9,2009,06,0.0,0.0,snow
AZ,9,2010,01,33.0,28.0,snow
AZ,9,2010,02,55.5,57.0,snow
AZ,9,2010,03,54.7,51.0,snow
AZ,9,2010,04,45.2,40.0,snow
AZ,9,2010,05,11.0,5.0,snow
AZ,9,2010,06,0.0,0.0,snow
AZ,9,2011,01,33.4,32.0,snow
AZ,9,2011,02,24.6,23.0,snow
AZ,9,2011,03,30.6,25.0,snow
AZ,9,2011,04,9.8,0.0,snow
AZ,9,2011,05,0.8,0.0,snow
AZ,9,2011,06,0.0,0.0,snow
AZ,9,2012,01,20.6,19.0,snow
AZ,9,2012,02,26.0,28.0,snow
AZ,9,2012,03,25.7,20.5,snow
AZ,9,2012,04,6.0,0.0,snow
AZ,9,2012,05,0.0,0.0,snow
AZ,9,2012,06,0.0,0.0,snow
AZ,9,2013,01,25.1,26.0,snow
AZ,9,2013,02,29.6,28.0,snow
AZ,9,2013,03,28.0,28.0,snow
AZ,9,2013,04,8.8,0.0,snow
AZ,9,2013,05,0.0,0.0,snow
AZ,9,2013,06,0.0,0.0,snow
AZ,9,2014,01,14.0,10.0,snow
AZ,9,2014,02,13.7,11.0,snow
AZ,9,2014,03,8.1,4.0,snow
AZ,9,2014,04,5.8,0.0,snow
AZ,9,2014,05,1.2,0.0,snow
AZ,9,2014,06,0.0,0.0,snow
AZ,9,2015,01,11.0,9.0,snow
AZ,9,2015,02,19.6,18.0,snow
AZ,9,2015,03,14.7,12.0,snow
AZ,9,2015,04,5.8,0.0,snow
AZ,9,2015,05,1.2,0.0,snow
AZ,9,2015,06,0.0,0.0,snow
AZ,9,2016,01,21.0,23.0,snow
AZ,9,2016,02,27.4,20.0,snow
AZ,9,2016,03,10.7,5.0,snow
AZ,9,2016,04,5.8,0.0,snow
AZ,9,2016,05,2.6,2.0,snow
AZ,9,2016,06,0.0,0.0,snow
CA,10,2000,02,44.3,47.0,snow
CA,10,2000,03,61.0,61.0,snow
CA,10,2000,04,43.0,43.0,snow
CA,10,2001,01,24.0,24.0,snow
CA,10,2001,03,41.7,41.0,snow
CA,10,2001,04,33.0,33.0,snow
CA,10,2002,01,53.0,53.0,snow
CA,10,2002,02,54.5,54.5,snow
CA,10,2002,03,68.5,68.5,snow
CA,10,2002,04,33.0,33.0,snow
CA,10,2003,01,39.0,39.0,snow
CA,10,2003,02,52.0,52.0,snow
CA,10,2003,03,49.0,49.0,snow
CA,10,2003,04,46.0,46.0,snow
CA,10,2004,01,47.5,47.5,snow
CA,10,2004,03,55.7,56.0,snow
CA,10,2004,04,28.0,28.0,snow
CA,10,2005,01,74.0,74.0,snow
CA,10,2005,02,83.0,83.0,snow
CA,10,2005,03,84.0,84.0,snow
CA,10,2005,04,94.0,94.0,snow
CA,10,2005,05,69.0,69.0,snow
CA,10,2006,01,58.0,58.0,snow
CA,10,2006,02,58.0,58.0,snow
CA,10,2006,03,53.0,53.0,snow
CA,10,2006,04,94.0,94.0,snow
CA,10,2007,01,14.5,14.5,snow
CA,10,2007,03,26.7,27.0,snow
CA,10,2007,04,12.0,12.0,snow
CA,10,2008,01,58.0,58.0,snow
CA,10,2008,02,75.0,75.0,snow
CA,10,2008,03,64.0,64.0,snow
CA,10,2008,04,39.0,39.0,snow
CA,10,2009,01,41.5,41.5,snow
CA,10,2009,03,61.3,59.0,snow
CA,10,2009,04,41.0,41.0,snow
CA,10,2010,01,56.0,56.0,snow
CA,10,2010,02,69.0,69.0,snow
CA,10,2010,03,66.0,66.0,snow
CA,10,2010,04,60.0,60.0,snow
CA,10,2011,01,68.0,68.0,snow
CA,10,2011,02,88.0,88.0,snow
CA,10,2011,03,115.5,115.5,snow
CA,10,2011,04,84.0,84.0,snow
CA,10,2012,01,26.0,26.0,snow
CA,10,2012,02,22.5,22.5,snow
CA,10,2012,03,25.0,23.0,snow
CA,10,2012,04,12.0,12.0,snow
CA,10,2013,01,44.5,44.5,snow
CA,10,2013,02,40.0,40.0,snow
CA,10,2013,03,33.5,33.5,snow
CA,10,2013,05,4.0,4.0,snow
CA,10,2014,01,11.5,11.5,snow
