Site_Name,Station,Ntwk,Elev,Lat,Lon,state
Ryan Park,06H06,SNOW,8350,41.32,-106.5,WY
Sage Creek Basin,07H06S,SNTL,7850,41.4,-107.26,WY
Salt River Summit,10G08S,SNTL,7760,42.51,-110.91,WY
Sand Lake,06H23S,SNTL,10050,41.46,-106.28,WY
Sandstone RS,07H03S,SNTL,8150,41.11,-107.17,WY
Sawmill Divide,07E38,SNOW,9260,44.63,-107.38,WY
Shell Creek,07E23S,SNTL,9580,44.5,-107.43,WY
Sheridan R.S. (New),09F15,SNOW,7790,43.63,-109.92,WY
Snake River Station,10E12,SNOW,6920,44.13,-110.67,WY
Snake River Station,10E12S,SNTL,6920,44.13,-110.67,WY
Snider Basin,10G13S,SNTL,8060,42.49,-110.53,WY
Snow King Mountain,10F20,SNOW,7660,43.46,-110.77,WY
Soldier Park,07E05,SNOW,8780,44.35,-107.01,WY
Soldier Park,07E05S,SNTL,8720,44.35,-107.01,WY
Sour Dough,60,SNOW,8460,44.21,-107,WY
South Brush Creek,06H19S,SNTL,8440,41.33,-106.5,WY
South Pass,08G03S,SNTL,9040,42.57,-108.84,WY
Spring Creek Divide,10G20S,SNTL,9000,42.53,-110.66,WY
St. Lawrence Alt,09F27S,SNTL,8620,43.03,-109.17,WY
Sucker Creek,07E12S,SNTL,8880,44.72,-107.4,WY
Sylvan Lake,10E06S,SNTL,8420,44.48,-110.16,WY
Sylvan Road,10E20S,SNTL,7120,44.46,-110.14,WY
T-Cross Ranch,09F03,SNOW,7900,43.71,-109.64,WY
Teton Pass W.s.,10F24,SNOW,7740,43.5,-110.98,WY
Thumb Divide,10E07,SNOW,7980,44.37,-110.58,WY
Thumb Divide,10E07S,SNTL,7980,44.37,-110.58,WY
Tie Creek,07E39S,SNTL,6870,44.81,-107.41,WY
Timber Creek,09E03S,SNTL,7950,44.03,-109.18,WY
Togwotee Pass,10F09,SNOW,9580,43.75,-110.05,WY
Togwotee Pass,10F09S,SNTL,9580,43.75,-110.06,WY
Townsend Creek,08G07S,SNTL,8700,42.7,-108.9,WY
Triple Peak,10G15S,SNTL,8500,42.76,-110.59,WY
Turpin Meadows,10F05,SNOW,6900,43.85,-110.28,WY
Two Ocean Plateau,10E17S,SNTL,9240,44.15,-110.22,WY
Tyrell R.S.,07E35,SNOW,8350,44.18,-107.25,WY
Webber Springs,06H09S,SNTL,9250,41.16,-106.93,WY
Whiskey Park,06H22S,SNTL,8950,41,-106.91,WY
Willow Creek,10G23S,SNTL,8380,42.82,-110.84,WY
Windy Peak,05G05S,SNTL,7900,42.28,-105.58,WY
Wolverine,09E08S,SNTL,7650,44.8,-109.66,WY
Wood Rock G.S.,07E13,SNOW,8440,44.68,-107.44,WY
Younts Peak,09F18S,SNTL,8350,43.93,-109.82,WY
