Site_Name,Station,Ntwk,Elev,Lat,Lon,state
Albany,06H11,SNOW,9120,41.18,-106.17,WY
Aster Creek,10E08,SNOW,7750,44.28,-110.63,WY
Bald Mtn.,07E21S,SNTL,9380,44.8,-107.84,WY
Base Camp,10F02,SNOW,7030,43.93,-110.43,WY
Base Camp,10F02S,SNTL,7030,43.95,-110.45,WY
Battle Mountain,07H04S,SNTL,7440,41.05,-107.27,WY
Bear Lodge Divide,04E02,SNOW,4680,44.55,-104.32,WY
Bear Trap Meadow,07F01S,SNTL,8200,43.89,-107.06,WY
Beartooth Lake,09E10S,SNTL,9360,44.94,-109.57,WY
Big Goose,07E32S,SNTL,7990,44.58,-107.2,WY
Big Park,10G11,SNOW,8620,42.35,-110.77,WY
Big Sandy Opening,09G09S,SNTL,9080,42.65,-109.26,WY
Blackhall Mtn,06H26S,SNTL,9820,41.06,-106.71,WY
Blackwater,09E13S,SNTL,9780,44.38,-109.79,WY
Blind Bull Sum,10G02S,SNTL,8650,42.96,-110.61,WY
Blue Ridge,08G02,SNOW,9620,42.65,-108.87,WY
Bone Springs Div,07E18S,SNTL,9350,44.68,-107.58,WY
Brooklyn Lake,06H13S,SNTL,10240,41.36,-106.23,WY
Burgess Junction,07E33S,SNTL,7880,44.79,-107.53,WY
Burroughs Creek,09F04S,SNTL,8750,43.7,-109.67,WY
Canyon,10E03S,SNTL,7870,44.72,-110.51,WY
Casper Mtn.,06G01S,SNTL,7900,42.73,-106.32,WY
Castle Creek,09F20,SNOW,8400,43.67,-109.38,WY
Castle Creek,09F20S,SNTL,8400,43.67,-109.38,WY
Ccc Camp,10G07,SNOW,7500,42.52,-110.88,WY
Cinnabar Park,06H24S,SNTL,9574,41.24,-106.23,WY
Cloud Peak Reservoir,07E36S,SNTL,9860,44.4,-107.06,WY
Cold Springs,09F25S,SNTL,9630,43.28,-109.45,WY
Cole Canyon,04E07S,SNTL,5910,44.49,-104.41,WY
Cottonwood Creek,10G25S,SNTL,7670,42.65,-110.81,WY
Crow Creek,05H02S,SNTL,8330,41.23,-105.38,WY
Darby Canyon,10F21,SNOW,8250,43.8,-111,WY
Deep Lake,06H17,SNOW,10500,41.4,-106.28,WY
Deer Park,08G10S,SNTL,9700,42.59,-108.9,WY
Divide Peak,07H05S,SNTL,8880,41.3,-107.15,WY
Dome Lake,07E34S,SNTL,8880,44.57,-107.3,WY
Dunoir,09F06,SNOW,8760,43.58,-109.8,WY
East Rim Divide,10F17S,SNTL,7930,43.13,-110.2,WY
Elbo Ranch,10F28,SNOW,7100,43.67,-110.6,WY
Elkhart Park G.S.,09F23S,SNTL,9400,43.01,-109.76,WY
Evening Star,09E11S,SNTL,9200,44.65,-109.78,WY
Four Mile Meadow,10F06,SNOW,7860,43.82,-110.27,WY
Fox Park #2,06H24,SNOW,9060,41.08,-106.17,WY
Foxpark,06H12,SNOW,9060,41.08,-106.17,WY
Geyser Creek,09F07,SNOW,8500,43.54,-109.75,WY
Glade Creek,10E13,SNOW,7040,44,-110.73,WY
Grand Targhee,10F30S,SNTL,9260,43.78,-110.93,WY
Granite Creek,10F29S,SNTL,6770,43.34,-110.43,WY
Grannier Meadows,08G04,SNOW,8860,42.56,-108.83,WY
Grassy Lake,10E15,SNOW,7265,44.13,-110.83,WY
Grassy Lake,10E15S,SNTL,7265,44.13,-110.83,WY
Grave Springs,07F06S,SNTL,8550,43.47,-107.24,WY
Gros Ventre Summit,10F19S,SNTL,8750,43.39,-110.13,WY
Grover Park Divide,10G03,SNOW,7000,42.8,-110.9,WY
Gunsight Pass,09F28S,SNTL,9820,43.38,-109.88,WY
Hairpin Turn,06H02,SNOW,9460,41.33,-106.2,WY
Hams Fork,10G24S,SNTL,7840,42.15,-110.68,WY
Hansen Sawmill,06E03S,SNTL,8360,44.26,-106.98,WY
Haskins Creek,07H01,SNOW,8975,41.15,-107.03,WY
Hoback GS,10F30,SNOW,6664,43.22,-110.43,WY
Hobbs Park,09G03S,SNTL,10100,42.87,-109.09,WY
Huckleberry Divide,10E14,SNOW,7300,44.05,-110.68,WY
Indian Creek,10G22S,SNTL,9425,42.3,-110.68,WY
Jackpine Creek,10F26,SNOW,7350,43.95,-111,WY
Kelley R.S.,10G12S,SNTL,8180,42.27,-110.81,WY
Kendall R.S.,10F15S,SNTL,7740,43.25,-110.02,WY
Kirwin,09F24S,SNTL,9550,43.86,-109.32,WY
Lake Camp,10E04,SNOW,7780,44.55,-110.4,WY
Laprele Creek,05G04S,SNTL,8375,42.44,-105.86,WY
Larsen Creek,09G06,SNOW,9020,42.6,-109.08,WY
Larsen Creek,09G06S,SNTL,9000,42.58,-109.09,WY
Lewis Lake Divide,10E09,SNOW,7850,44.2,-110.67,WY
Lewis Lake Divide,10E09S,SNTL,7850,44.21,-110.67,WY
Libby Lodge,06H03,SNOW,8750,41.32,-106.18,WY
Little Bear Run,04F01,SNOW,6245,43.97,-104.06,WY
Little Goose,07E40S,SNTL,8870,44.54,-107.18,WY
Little Snake River,06H25S,SNTL,8915,41.07,-106.94,WY
Little Warm,09F08S,SNTL,9370,43.5,-109.75,WY
Loomis Park,10F16S,SNTL,8240,43.17,-110.14,WY
Lupine Creek,10E01,SNOW,7380,44.92,-110.62,WY
Mallo,04E05,SNOW,6420,44.11,-104.07,WY
Marquette,09E09S,SNTL,8760,44.3,-109.24,WY
Med Bow,06H27S,SNTL,10500,41.38,-106.35,WY
Medicine Lodge Lakes,07E24,SNOW,9340,44.4,-107.39,WY
Middle Fork,08G06,SNOW,7420,42.73,-108.85,WY
Middle Powder,07F02S,SNTL,7760,43.63,-107.18,WY
Moran,10F04,SNOW,6750,43.87,-110.57,WY
Moss Lake,06H16,SNOW,9880,41.4,-106.37,WY
Moss Lake #2,06H26,SNOW,9880,41.4,-106.37,WY
Mount Tom,04E04,SNOW,5560,44.16,-104.32,WY
New Fork Lake,09F21S,SNTL,8340,43.11,-109.95,WY
Norris Basin,10E19,SNOW,7550,44.75,-110.7,WY
North Barrett Creek,06H05,SNOW,9430,41.32,-106.43,WY
North French Creek,06H20S,SNTL,10130,41.33,-106.38,WY
North Tongue,07E15,SNOW,8450,44.75,-107.6,WY
Old Battle,06H10S,SNTL,10000,41.15,-106.97,WY
Old Faithful,10E18,SNOW,7400,44.45,-110.82,WY
Onion Gulch,07E27,SNOW,8780,44.08,-107.12,WY
Owl Creek,08F01S,SNTL,8975,43.66,-109.01,WY
Parker Peak,09E07S,SNTL,9400,44.73,-109.91,WY
Phillips Bench,10F23S,SNTL,8200,43.52,-110.91,WY
Pocket Creek,09G11,SNOW,9350,42.7,-109.42,WY
Pocket Creek,09G11S,SNTL,9360,42.71,-109.41,WY
Pole Mountain,05H01,SNOW,8360,41.25,-105.42,WY
Powder River Pass,07E06S,SNTL,9480,44.16,-107.13,WY
Purgatory Gulch,06H18,SNOW,8970,41.13,-106.73,WY
Ranger Creek,07E04,SNOW,8120,44.54,-107.5,WY
Reno Hill,06G02S,SNTL,8400,42.57,-106.09,WY
Reuter Canyon,04E03,SNOW,6280,44.37,-104.43,WY
Rowdy Creek,10G21,SNOW,8300,42.93,-110.53,WY
