Site_Name,Station,Ntwk,Elev,Lat,Lon,state
Above Gilmore,13E19,SNOW,8240,44.45,-113.3,ID
Above Roland,15B07,SNOW,4350,47.38,-115.67,ID
Allen Ranch,11G35,SNOW,6470,42.77,-111.42,ID
Atlanta Summit,15F04S,SNTL,7580,43.76,-115.24,ID
Bad Bear,15F02,SNOW,4940,43.9,-115.7,ID
Badger Gulch,14G03,SNOW,6660,42.1,-114.17,ID
Banner Summit,15E11S,SNTL,7040,44.3,-115.23,ID
Battle Creek AM,16G09,SNOW,5710,42.48,-116.33,ID
Bear Basin,16E11S,SNTL,5350,44.95,-116.14,ID
Bear Canyon,13F03S,SNTL,7900,43.74,-113.94,ID
Bear Mountain,16A08S,SNTL,5400,48.31,-116.07,ID
Bear Saddle,16E10S,SNTL,6180,44.61,-116.98,ID
Benton Meadow,16A02,SNOW,2370,48.35,-116.83,ID
Benton Spring,16A03,SNOW,4920,48.35,-116.77,ID
Big Creek Summit,15E02S,SNTL,6580,44.63,-115.79,ID
Big Springs,11E09,SNOW,6400,44.48,-111.27,ID
Blue Ridge,11F17,SNOW,6780,43.2,-111.85,ID
Bogus Basin,16F02,SNOW,6340,43.77,-116.1,ID
Bogus Basin,16F02S,SNTL,6340,43.76,-116.1,ID
Bogus Basin Road,16F04,SNOW,5540,43.73,-116.13,ID
Bone,11F08,SNOW,6200,43.3,-111.78,ID
Bostetter R.S.,14G01S,SNTL,7500,42.16,-114.19,ID
Boy Scout Camp,13G02,SNOW,7740,42.22,-113.67,ID
Brundage Reservoir,16D09S,SNTL,6250,45.04,-116.13,ID
Bruno Creek,14E08,SNOW,7920,44.35,-114.53,ID
Bull Basin AM,16G10,SNOW,5460,42.35,-116.97,ID
Camas Creek Divide,15F09S,SNTL,5710,43.27,-115.35,ID
Camp Creek,12E03,SNOW,6580,44.45,-112.23,ID
Chimney Creek,15F15,SNOW,6400,43.43,-115.03,ID
Chocolate Gulch,14F19S,SNTL,6440,43.77,-114.42,ID
Cool Creek,15C16S,SNTL,6280,46.76,-115.3,ID
Copes Camp,13E17,SNOW,7520,44.85,-113.82,ID
Copper Basin,13F02,SNOW,7640,43.82,-113.92,ID
Couch Summit #2,14F18,SNOW,6840,43.52,-114.8,ID
Cougar Point,14D06,SNOW,6780,45.08,-114.07,ID
Cozy Cove,15E08S,SNTL,5380,44.29,-115.66,ID
Crab Creek,11E37S,SNTL,6860,44.44,-111.99,ID
Crater Meadows,15C09S,SNTL,5960,46.56,-115.29,ID
Crooked Fork,14C11,SNOW,3610,46.52,-114.68,ID
Daniels Creek,12G12,SNOW,6270,42.4,-112.35,ID
Deadman Gulch,16F01,SNOW,5600,43.92,-116.02,ID
Deadwood Summit,15E04S,SNTL,6860,44.54,-115.56,ID
Democrat Creek,16F13,SNOW,5686,43.08,-116.78,ID
Dobson Creek,16F12,SNOW,7084,43.08,-116.83,ID
Dodson Pass,16E15,SNOW,4260,44.33,-116.33,ID
Dollarhide Summit,14F08S,SNTL,8420,43.6,-114.67,ID
Dry Basin,11G14,SNOW,7820,42.27,-111.6,ID
Dry Fork,13F20,SNOW,7220,43.58,-113.68,ID
East Creek,11G34,SNOW,7100,42.53,-111.97,ID
Elk Butte,16C20S,SNTL,5690,46.84,-116.12,ID
Emigrant Summit,11G06S,SNTL,7390,42.36,-111.56,ID
Emigration Canyon,11G07,SNOW,6500,42.36,-111.51,ID
Fall Creek,11F19,SNOW,6820,43.47,-111.55,ID
Fish Lake Airstrip,15C02,SNOW,5650,46.33,-115.07,ID
Fishpole Lake,13F08,SNOW,9300,43.65,-113.85,ID
Fourth Of July Summit,16B03,SNOW,3200,47.62,-116.52,ID
Franklin Basin,11G32S,SNTL,8170,42.05,-111.6,ID
Galena,14F17S,SNTL,7470,43.88,-114.67,ID
Galena Summit,14F12S,SNTL,8780,43.87,-114.71,ID
Garfield R.S.,13F04S,SNTL,6560,43.61,-113.93,ID
Giveout,11G33S,SNTL,6930,42.41,-111.17,ID
Graham Guard Sta.,15F14S,SNTL,5690,43.95,-115.27,ID
Hahn Homestead,13E29,SNOW,7500,44.35,-113.23,ID
Hemlock Butte,15C06S,SNTL,5810,46.48,-115.63,ID
Hidden Lake,16A12S,SNTL,5040,48.89,-116.76,ID
Hilts Creek,13E27S,SNTL,8000,44.02,-113.47,ID
Howell Canyon,13G01S,SNTL,7980,42.32,-113.62,ID
Humboldt Gulch,15B21S,SNTL,4250,47.53,-115.78,ID
Hyndman,14F16S,SNTL,7440,43.71,-114.16,ID
Iron Mine Creek,13F10,SNOW,6300,43.55,-113.72,ID
Iron Mine Creek,13F10S,SNTL,6340,43.56,-113.72,ID
Irving Creek,12E04,SNOW,7280,44.43,-112.6,ID
Island Park,11E10S,SNTL,6290,44.42,-111.39,ID
Jackson Peak,15E09S,SNTL,7070,44.05,-115.44,ID
Jakes Canyon,13E28,SNOW,9040,44.78,-113.35,ID
John Evans Canyon,12G22,SNOW,5784,42.22,-112.46,ID
Johnson Creek,11G36,SNOW,6730,42.67,-111.43,ID
Kellogg Peak,16B05,SNOW,5560,47.5,-116.12,ID
Ketchum R S,14F21,SNOW,5890,43.68,-114.35,ID
Kilgore,11E12,SNOW,6320,44.4,-111.9,ID
Kit Carson Pasture,14D03,SNOW,4950,45.7,-114.62,ID
Lake Fork,150,SNOW,5290,44.92,-115.95,ID
Langford Flat Creek,14G08,SNOW,5980,42.13,-114.38,ID
Latham Springs,11E16,SNOW,7630,44.47,-111.15,ID
Lava Creek,11F15,SNOW,7350,43.3,-111.52,ID
Little Camas Flat,15F12,SNOW,4940,43.33,-115.4,ID
Logger Springs,13G03,SNOW,8120,42.15,-113.73,ID
Lolo Pass,14C05S,SNTL,5240,46.63,-114.58,ID
Long Valley,16E18S,SNTL,4890,44.79,-116.09,ID
Lookout,15B02S,SNTL,5140,47.46,-115.71,ID
Lost Lake,15B14S,SNTL,6110,47.07,-115.96,ID
Lost-Wood Divide,14F03S,SNTL,7900,43.82,-114.26,ID
Lower Pebble,12G06,SNOW,5780,42.73,-112.05,ID
Lower Sands Creek #2,16B13,SNOW,3120,47.73,-116.48,ID
Lucky Dog,11E14,SNOW,6860,44.48,-111.22,ID
Magic Mountain,14G02S,SNTL,6880,42.18,-114.29,ID
