Site_Name,Station,Ntwk,Elev,Lat,Lon,state
Agua Canyon,12M26S,SNTL,8900,37.52,-112.27,UT
Alta Central,11J61,SNOW,8800,40.59,-111.64,UT
Bear River RS,10J17S,SNTL,8777,40.89,-110.83,UT
Beaver Dams,11K13S,SNTL,7990,39.14,-111.56,UT
Beaver Divide,11J46S,SNTL,8280,40.61,-111.1,UT
Ben Lomond Peak,11H08S,SNTL,8000,41.38,-111.94,UT
Ben Lomond Trail,11H30S,SNTL,5829,41.38,-111.92,UT
Bevan's Cabin,12J02,SNOW,6430,40.46,-112.25,UT
Bevans Cabin,12J02S,SNTL,6430,40.46,-112.25,UT
Big Flat,12L07S,SNTL,10349,38.3,-112.36,UT
Birch Crossing,12M16,SNOW,8045,37.74,-112.84,UT
Black Flat-U.M. Ck,11L04S,SNTL,9462,38.68,-111.6,UT
Black's Fork Junction,10J22,SNOW,8870,40.96,-110.58,UT
Blacks Fork Jct,10J22S,SNTL,8870,40.96,-110.58,UT
Bobs Hollow,0M02S,SNTL,9300,38.95,-112.15,UT
Box Creek,12L04S,SNTL,9828,38.51,-112.02,UT
Brian Head,12M14,SNOW,9972,37.68,-112.86,UT
Brian Head,12M14S,SNTL,9972,37.68,-112.86,UT
Brighton,11J57S,SNTL,8750,40.6,-111.58,UT
Brighton Cabin,11J58,SNOW,8700,40.6,-111.58,UT
Brown Duck,10J30S,SNTL,10600,40.58,-110.59,UT
Bryce Canyon,12M08,SNOW,8000,37.63,-112.17,UT
Buck Flat,11K31S,SNTL,9430,39.13,-111.44,UT
Buck Pasture,10J23S,SNTL,9700,40.84,-110.66,UT
Buckboard Flat,09M01,SNOW,8998,37.87,-109.45,UT
Buckboard Flat,09M01S,SNTL,8998,37.87,-109.45,UT
Bug Lake,11H37S,SNTL,7950,41.68,-111.42,UT
Burts Miller Ranch,10J06S,SNTL,8000,40.98,-110.85,UT
Burts-Miller Ranch,10J06,SNOW,7998,40.98,-110.85,UT
Camp Jackson,09M02S,SNTL,8968,37.81,-109.49,UT
Cascade Mountain,11J70S,SNTL,7774,40.28,-111.61,UT
Castle Valley,12M13S,SNTL,9580,37.66,-112.74,UT
Cecret Lake,11J67,SNOW,9750,40.57,-111.62,UT
Chalk Creek #1,11J01S,SNTL,8993,40.85,-111.05,UT
Chalk Creek #2,11J02S,SNTL,8158,40.89,-111.07,UT
Chalk Creek #3,11J03,SNOW,7364,40.92,-111.09,UT
Chepeta,10J43S,SNTL,10592,40.77,-110.01,UT
