Site_Name,Station,Ntwk,Elev,Lat,Lon,state
Roaring River,22F43S,SNTL,4950,43.9,-122.03,OR
Rock Springs,18F01S,SNTL,5290,44.01,-118.84,OR
Rogger Meadow AM,20G19,SNOW,6360,42.17,-120.25,OR
Saddle Mountain,23D01S,SNTL,3110,45.54,-123.37,OR
Salt Creek Falls,22F04S,SNTL,4220,43.61,-122.12,OR
Santiam Jct.,21E05S,SNTL,3740,44.44,-121.95,OR
Schneider Meadows,17D08S,SNTL,5400,45,-117.17,OR
Seine Creek,23D02S,SNTL,2060,45.53,-123.3,OR
Sevenmile Marsh,22G33S,SNTL,5700,42.7,-122.14,OR
Sherman Valley AM,20G10,SNOW,6640,42.36,-120.23,OR
Silver Burn,22G02,SNOW,3680,42.93,-122.4,OR
Silver Creek,21F12S,SNTL,5740,42.96,-121.18,OR
Silvies,18G01S,SNTL,6990,42.75,-118.69,OR
Siskiyou Summit (Rev.),22G35,SNOW,4560,42.07,-122.61,OR
Ski Bowl Road,22G32,SNOW,6070,42.07,-122.69,OR
Smith Ridge,22E11S,SNTL,3270,44.3,-122.04,OR
Snow Mountain,19F01S,SNTL,6230,43.95,-119.54,OR
South Fork Bull Run,22D03S,SNTL,2690,45.45,-122.03,OR
Standley AM,17D11,SNOW,7360,45.38,-117.57,OR
Starr Ridge,19E07S,SNTL,5250,44.26,-119.02,OR
Strawberry,20G09S,SNTL,5770,42.13,-120.84,OR
Summer Rim,20G02S,SNTL,7080,42.7,-120.8,OR
Summit Lake,22F14S,SNTL,5610,43.45,-122.14,OR
Sun Pass,21G17S,SNTL,5400,42.79,-121.98,OR
Swan Lake Mtn,21G16S,SNTL,6830,42.41,-121.68,OR
Sycan Flat AM,21G09,SNOW,5580,42.86,-121,OR
Tangent,21F03,SNOW,5470,43.99,-121.54,OR
Taylor Butte,21G03S,SNTL,5030,42.69,-121.43,OR
Taylor Green,17D07S,SNTL,5740,45.08,-117.55,OR
Three Creeks Meadow,21E13S,SNTL,5690,44.14,-121.64,OR
Tipton,18E09S,SNTL,5150,44.66,-118.43,OR
Toketee Airstrip,22F45S,SNTL,3240,43.23,-122.43,OR
Trap Creek,22F17,SNOW,3830,43.25,-122.29,OR
Trout Creek AM,18G05,SNOW,7890,42.04,-118.24,OR
Tv Ridge AM,17D16,SNOW,7050,45.4,-117.39,OR
V Lake AM,18G07,SNOW,6600,42.47,-118.72,OR
West Eagle Meadows AM,17D17,SNOW,5500,45.08,-117.48,OR
Wolf Creek,18D21S,SNTL,5630,45.07,-118.15,OR
