Site_Name,Station,Ntwk,Elev,Lat,Lon,state
Aneroid Lake #2,17D02S,SNTL,7400,45.21,-117.19,OR
Annie Springs,22G06S,SNTL,6010,42.87,-122.17,OR
Anthony Lake (Rev),18E31,SNOW,7160,44.96,-118.23,OR
Arbuckle Mtn,19D02S,SNTL,5770,45.19,-119.25,OR
Bald Mtn Am OR,17D10,SNOW,6600,45.21,-117.66,OR
Bald Peter,21E22,SNOW,5600,44.68,-121.69,OR
Barley Camp AM,20G23,SNOW,6890,42.02,-120.11,OR
Barney Creek (New),18E37,SNOW,5830,44.36,-118.31,OR
Bear Flat Meadow AM,20G15,SNOW,6580,42.42,-120.47,OR
Bear Grass,22E10S,SNTL,4720,44.33,-122.09,OR
Beaver Creek #1,21D36,SNOW,4210,45.1,-121.61,OR
Beaver Creek #2,21D37,SNOW,4220,45.1,-121.61,OR
Beaver Dam Creek,22G28,SNOW,5120,42.3,-122.29,OR
Beaver Reservoir,18D09S,SNTL,5150,45.15,-118.22,OR
Big Red Mountain,22G21S,SNTL,6050,42.05,-122.85,OR
Big Sheep AM,17D14,SNOW,6230,45.17,-117.09,OR
Bigelow Camp,23G15S,SNTL,5130,42.08,-123.34,OR
Billie Creek Divide,22G13S,SNTL,5280,42.41,-122.27,OR
Blazed Alder,21D33S,SNTL,3650,45.43,-121.86,OR
Blue Mountain Spring,18E16S,SNTL,5870,44.25,-118.52,OR
Boulder Creek AM,18E35,SNOW,5710,44.4,-118.03,OR
Bourne,18E05S,SNTL,5850,44.83,-118.19,OR
Bowman Springs,18D20S,SNTL,4530,45.36,-118.47,OR
Buck Pasture AM,18F06,SNOW,5740,43.03,-118.41,OR
Buckskin Lake AM,18F10,SNOW,5190,43.03,-118.95,OR
Bully Creek AM,18E21,SNOW,5300,44.12,-118.13,OR
Caliban (Alt.),22G34,SNOW,6500,42.09,-122.71,OR
Call Meadows AM,18F07,SNOW,5380,43.81,-118.79,OR
Camas Creek #3,20G24,SNOW,5860,42.22,-120.29,OR
Cascade Summit,22F03S,SNTL,5100,43.59,-122.06,OR
Chemult Alternate,21F22S,SNTL,4850,43.23,-121.81,OR
Clackamas Lake,21D13S,SNTL,3400,45.1,-121.75,OR
Clear Lake,21D12S,SNTL,3810,45.19,-121.69,OR
Cold Springs Camp,22G24S,SNTL,5940,42.53,-122.18,OR
Colvin Creek AM,20G18,SNOW,6520,42.46,-120.19,OR
County Line,18D08S,SNTL,4830,45.19,-118.55,OR
Cox Flat AM,20G11,SNOW,5750,42.37,-120.6,OR
Crazyman Flat,20G12S,SNTL,6180,42.64,-120.95,OR
Daly Lake,22E08S,SNTL,3690,44.52,-122.09,OR
Deadwood Junction,22G27,SNOW,4660,42.29,-122.38,OR
Derr,19E03,SNOW,5860,44.45,-119.93,OR
Derr.,19E03S,SNTL,5850,44.45,-119.93,OR
Diamond Lake,22F18S,SNTL,5280,43.19,-122.14,OR
Dog Hollow AM,21G06,SNOW,4920,42.13,-121.12,OR
Dooley Mountain,17E04,SNOW,5440,44.57,-117.84,OR
East Eagle,17D19,SNOW,4400,45.33,-117.32,OR
Eilertson Meadows,18E03S,SNTL,5510,44.87,-118.11,OR
Eldorado Pass,18E20,SNOW,4630,44.34,-118.08,OR
Emigrant Springs,18D04S,SNTL,3800,45.56,-118.45,OR
Finley Corrals AM,20G14,SNOW,6000,42.45,-120.78,OR
Fish Creek,18G02S,SNTL,7660,42.71,-118.63,OR
Fish Lk.,22G14S,SNTL,4660,42.38,-122.35,OR
Flag Prairie AM,18E26,SNOW,4720,44.14,-118.32,OR
Fourmile Lake,22G12S,SNTL,5970,42.44,-122.23,OR
Gerber Reservoir,21G04S,SNTL,4890,42.21,-121.13,OR
Gold Center,18E08S,SNTL,5410,44.76,-118.31,OR
Govt Corrals AM,18G04A,SNOW,7400,42.04,-118.32,OR
Greenpoint,21D01S,SNTL,3310,45.62,-121.7,OR
Hart Mountain AM,19G01,SNOW,6430,42.48,-119.72,OR
High Prairie,21D38,SNOW,6080,45.35,-121.53,OR
High Ridge,18D19S,SNTL,4920,45.7,-118.11,OR
Hogg Pass,21E06S,SNTL,4790,44.42,-121.86,OR
Holland Meadows,22F42S,SNTL,4930,43.67,-122.57,OR
Howard Prairie,22G26,SNOW,4580,42.21,-122.37,OR
Howard Prairie,22G26S,SNTL,4580,42.22,-122.37,OR
Hungry Flat,21F04,SNOW,4400,43.99,-121.44,OR
Indian Ridge,18D24,SNOW,4908,45.94,-118.01,OR
Irish Taylor,21F21S,SNTL,5540,43.8,-121.95,OR
Jump Off Joe,22E07S,SNTL,3520,44.39,-122.17,OR
King Mountain,23G09S,SNTL,4340,42.72,-123.2,OR
King Mountain 1,23G08,SNOW,4760,42.72,-123.2,OR
King Mountain 3,23G10,SNOW,3680,42.74,-123.17,OR
King Mountain 4,23G11,SNOW,3050,42.75,-123.18,OR
Lake Creek R.S.,18E18S,SNTL,5240,44.21,-118.64,OR
Little Alps,18E23,SNOW,6360,44.97,-118.18,OR
Little Antone (Alt.),18E34,SNOW,4560,44.97,-118.12,OR
Little Meadows,22E09S,SNTL,4020,44.61,-122.23,OR
Lookout Butte AM,17G06,SNOW,5740,42.13,-117.18,OR
Louse Canyon AM,17G04,SNOW,6530,42.07,-117.55,OR
Lucky Strike,18D06S,SNTL,4970,45.27,-118.85,OR
Madison Butte,19D03S,SNTL,5150,45.11,-119.5,OR
Marion Forks,21E04S,SNTL,2590,44.59,-121.97,OR
Marks Creek,20E01,SNOW,4580,44.49,-120.39,OR
Marys Peak (Rev.),23E04,SNOW,3580,44.51,-123.56,OR
Mckenzie,21E07S,SNTL,4770,44.21,-121.87,OR
Milk Shakes,17D20S,SNTL,5580,45.98,-117.95,OR
Mill Creek Meadow,21D39,SNOW,4400,45.45,-121.52,OR
Miller Woods,23D03S,SNTL,420,45.25,-123.28,OR
Mirror Lake AM,17D13,SNOW,8120,45.18,-117.31,OR
Moss Springs,17D06S,SNTL,5760,45.27,-117.69,OR
Mount Ashland Switchback,22G31,SNOW,6430,42.09,-122.69,OR
Mt Hood,21D08,SNOW,5370,45.32,-121.72,OR
Mt Hood Test Site,21D08S,SNTL,5370,45.32,-121.72,OR
Mt. Howard,17D18S,SNTL,7910,45.27,-117.17,OR
Mud Ridge,21D35S,SNTL,4070,45.25,-121.74,OR
New Crescent Lake,21F10S,SNTL,4910,43.51,-121.98,OR
New Dutchman #3,21E26,SNOW,6320,44.01,-121.66,OR
North Fork,22D02S,SNTL,3060,45.55,-122,OR
North Umpqua,22F16,SNOW,4200,43.31,-122.16,OR
Ochoco Meadows,20E02,SNOW,5190,44.43,-120.34,OR
Ochoco Meadows,20E02S,SNTL,5430,44.43,-120.33,OR
Oregon Canyon AM,18G11,SNOW,7050,42.11,-118.05,OR
Park H.q. Rev,22G05,SNOW,6570,42.9,-122.14,OR
Patton Meadows AM,20G17,SNOW,6800,42.25,-120.62,OR
Peavine Ridge,21D14S,SNTL,3420,45.04,-121.93,OR
Pueblo Summit AM,18G09,SNOW,6970,42.1,-118.69,OR
Quartz Mountain,20G06S,SNTL,5720,42.32,-120.83,OR
Racing Creek,21E23,SNOW,5160,44.69,-121.66,OR
Railroad Overpass,22F05S,SNTL,2680,43.66,-122.21,OR
Red Butte 1,22F23,SNOW,4460,43.17,-122.88,OR
Red Butte 2,22F24,SNOW,4050,43.19,-122.86,OR
Red Butte 3,22F25,SNOW,3500,43.2,-122.87,OR
Red Butte 4,22F26,SNOW,3000,43.2,-122.85,OR
Red Hill,21D04S,SNTL,4410,45.46,-121.7,OR
