Site_Name,Station,Ntwk,Elev,Lat,Lon,state
American Beauty - Aerial Marker,15J17,SNOW,7800,40.53,-115.46,NV
Baker Creek #1,14L01,SNOW,7950,38.97,-114.25,NV
Baker Creek #2,14L02,SNOW,8950,38.97,-114.28,NV
Baker Creek #3,14L03,SNOW,9250,38.97,-114.29,NV
Bald Mt.,19H01,SNOW,6720,41.78,-119.62,NV
Bear Creek,15H01S,SNTL,8040,41.83,-115.45,NV
Berry Creek,14K02S,SNTL,9100,39.32,-114.62,NV
Big Bend,15H04S,SNTL,6700,41.76,-115.69,NV
Big Creek Campground,17K01,SNOW,6696,39.35,-117.14,NV
Big Creek Mine,17K02,SNOW,7735,39.31,-117.12,NV
Big Creek Sum,17K04S,SNTL,8695,39.29,-117.11,NV
Big Meadow,19K08S,SNTL,8249,39.46,-119.94,NV
Bird Creek,14K01,SNOW,7500,39.46,-114.65,NV
Bird Creek,14K01S,SNTL,7500,39.46,-114.65,NV
Bristlecone Trail,15N09S,SNTL,8979,36.32,-115.7,NV
Buckskin Lower,17H02S,SNTL,6915,41.75,-117.53,NV
Cave Mountain,14K08S,SNTL,10583,39.16,-114.61,NV
Clear Creek,19K05,SNOW,7284,39.11,-119.89,NV
Columbia Basin,16H06S,SNTL,6650,41.67,-116.07,NV
Columbia Basin - Aerial Marker,16H06,SNOW,6650,41.67,-116.07,NV
Corduroy Flat,15L02S,SNTL,8720,39,-115.42,NV
Corduroy Flat Aerial,15L02,SNOW,8720,39,-115.42,NV
Corral Canyon,15J12S,SNTL,8500,40.28,-115.53,NV
Defiance Mines,14K09S,SNTL,9200,39.09,-114.9,NV
"Defiance Mines, Aerial Marker",14K09,SNOW,9200,39.09,-114.9,NV
Diamond Peak,15K03S,SNTL,8033,39.56,-115.84,NV
Disaster Peak,18H01S,SNTL,6500,41.97,-118.19,NV
Dorsey Basin,15J01S,SNTL,8100,40.89,-115.2,NV
Draw Creek,15H24S,SNTL,7200,41.66,-115.32,NV
Dry Creek,15J03,SNOW,6500,40.86,-115.22,NV
Dry Creek,15j03S,SNTL,6500,40.86,-115.22,NV
Fawn Creek,16H08S,SNTL,7000,41.82,-116.1,NV
Forty Nine Mtn.,19H03,SNOW,6000,41.57,-119.82,NV
Fry Canyon,15H07,SNOW,6700,41.58,-115.93,NV
Fry Canyon,15h07S,SNTL,6700,41.58,-115.93,NV
Glenbrook #2,19K06,SNOW,6966,39.08,-119.9,NV
Golconda,17J02S,SNTL,6596,40.88,-117.59,NV
Golconda #2,17J02,SNOW,6560,40.88,-117.59,NV
Gold Creek,15H05,SNOW,6707,41.75,-115.68,NV
Granite Peak,17H08S,SNTL,8543,41.67,-117.57,NV
Green Mountain,15J09S,SNTL,8000,40.38,-115.53,NV
Harrison Pass #1,15J10,SNOW,6600,40.32,-115.56,NV
Hays Canyon,19H02,SNOW,6400,41.3,-119.82,NV
Hole-in-Mountain,15J15S,SNTL,7900,40.94,-115.1,NV
Jack Creek Upper,16H02S,SNTL,7250,41.55,-116.01,NV
"Jack Creek, Lower",16H01,SNOW,6800,41.53,-116.03,NV
Jacks Peak,16H04S,SNTL,8420,41.53,-116.01,NV
Jakes Creek,14H04S,SNTL,7382,41.57,-115.03,NV
Jakes Creek - Aerial Marker,14H04,SNOW,7000,41.57,-115.03,NV
Kalamazoo,14K10S,SNTL,7744,39.56,-114.63,NV
Kalamazoo Creek,14K08,SNOW,7400,39.56,-114.63,NV
Kyle Canyon,15N05,SNOW,8200,36.27,-115.67,NV
Lamance Creek,17H07S,SNTL,6000,41.52,-117.63,NV
Lamoille #1,15J04,SNOW,7364,40.66,-115.43,NV
Lamoille #3,15J06S,SNTL,7700,40.65,-115.38,NV
Lamoille #5,15J08,SNOW,8814,40.6,-115.38,NV
Laurel Draw,16H05S,SNTL,6697,41.78,-116.03,NV
Lee Canyon,15N10S,SNTL,8626,36.31,-115.68,NV
Lee Canyon #2,15N03,SNOW,9111,36.31,-115.7,NV
Lee Canyon #3,15N08,SNOW,8400,36.28,-115.68,NV
Lewis Peak,16J01S,SNTL,7400,40.36,-116.86,NV
Little Bally Mt. - Aerial Marker,19H04,SNOW,6580,41.83,-119.87,NV
Little Valley,19K03,SNOW,6510,39.25,-119.88,NV
Little Valley,19k03S,SNTL,6510,39.25,-119.88,NV
Marlette Lake,19K04S,SNTL,7880,39.16,-119.9,NV
Merritt Mountain,15H20S,SNTL,6916,41.89,-115.86,NV
Merritt Mountain - Aerial Marker,15H20,SNOW,7000,41.89,-115.86,NV
Midas,16H03,SNOW,7200,41.27,-116.8,NV
Midas,16H03S,SNTL,6631,41.27,-116.8,NV
Mount Rose,19K02,SNOW,9000,39.35,-119.88,NV
Mt Rose Ski Area,19K07S,SNTL,8801,39.32,-119.89,NV
Murray Summit,14K03,SNOW,7250,39.22,-114.96,NV
O'Neil Creek,15H25,SNOW,6480,41.87,-115.07,NV
ONeil Creek,15H25S,SNTL,6520,41.86,-115.08,NV
Pole Canyon,15j20S,SNTL,7700,40.86,-115.12,NV
Pole Canyon #2,15J20,SNOW,7700,40.86,-115.12,NV
Pole Creek R.S.,15H14S,SNTL,8330,41.87,-115.25,NV
Quinn Ridge AM,17H06,SNOW,6270,41.96,-117.34,NV
Rainbow Canyon,15N11S,SNTL,7920,36.25,-115.63,NV
Rainbow Canyon #2,15N07,SNOW,8100,36.25,-115.63,NV
Robinson Lake - Aerial Marker,15J16,SNOW,9200,40.72,-115.28,NV
Robinson Summit,15K01,SNOW,7600,39.41,-115.08,NV
Seventysix Creek,15H03S,SNTL,7100,41.74,-115.47,NV
Silver Creek #2,14K07,SNOW,8000,39.23,-114.24,NV
Silver Creek Nv,14K07S,SNTL,8000,39.23,-114.24,NV
Smith Creek,15J19,SNOW,7600,40.45,-115.51,NV
Snow Storm Mountain-Am,16H11,SNOW,7420,41.34,-116.98,NV
Snowstorm Mtn,16H11S,SNTL,7420,41.34,-116.98,NV
Stag Mountain,15H19S,SNTL,7800,41.41,-115.45,NV
Stag Mountain AM,15H19,SNOW,7800,41.41,-115.45,NV
Summit Lk,18H02S,SNTL,7609,41.49,-119,NV
Taylor Canyon,15H09S,SNTL,6200,41.23,-116.03,NV
Tent Mtn Lower,15J22S,SNTL,7100,40.98,-115.17,NV
"Tent Mtn., Lower - Aerial Marker",15J22,SNOW,7000,40.98,-115.17,NV
"Tent Mtn., Upper- Aerial Marker",15J23,SNOW,8350,40.97,-115.16,NV
Toe Jam,16H07S,SNTL,7700,41.32,-116.34,NV
Toe Jam - Aerial Marker,16H07,SNOW,7700,41.32,-116.34,NV
Tremewan Ranch,15H08,SNOW,5700,41.29,-115.79,NV
"Trout Creek, Lower",15H10,SNOW,6900,41.07,-115.1,NV
"Trout Creek, Upper - AM",15H11,SNOW,8500,41.04,-115.1,NV
Vacarro Springs,15K04S,SNTL,7836,39.45,-115.98,NV
Ward Mountain,14K05S,SNTL,9200,39.13,-114.96,NV
Wheeler Peak,14L04S,SNTL,10120,39.01,-114.31,NV
White River #1,15L01,SNOW,7400,38.95,-115.38,NV
White River Nv,15L01S,SNTL,7440,38.95,-115.38,NV
