Site_Name,Station,Ntwk,Elev,Lat,Lon,state
North Mountain,08M09,SNOW,9360,37.93,-108.4,CO
Overland Res.,07K14S,SNTL,9840,39.09,-107.63,CO
Park Cone,06L02,SNOW,9600,38.82,-106.58,CO
Park Cone,06L02S,SNTL,9600,38.82,-106.59,CO
Park Reservoir,07K06S,SNTL,9960,39.05,-107.87,CO
Park View,06J02,SNOW,9160,40.37,-106.1,CO
Phantom Valley,05J04S,SNTL,9030,40.4,-105.85,CO
Pinos Mill,06M24,SNOW,10000,37.05,-106.42,CO
Platoro,06M09,SNOW,9880,37.35,-106.55,CO
Pool Table Mountain,06M14,SNOW,9840,37.8,-106.8,CO
Porcupine,07M20,SNOW,10280,37.85,-107.17,CO
Porphyry Creek,06L03,SNOW,10760,38.48,-106.33,CO
Porphyry Creek,06L03S,SNTL,10760,38.49,-106.34,CO
Rabbit Ears,06J09S,SNTL,9400,40.37,-106.74,CO
Ranch Creek,05K18,SNOW,9400,39.93,-105.73,CO
Rawah,06J20S,SNTL,9020,40.71,-106.01,CO
Red Feather,05J20,SNOW,9000,40.82,-105.65,CO
Red Mountain Pass,07M33S,SNTL,11200,37.89,-107.71,CO
Rio Blanco,07J01,SNOW,8500,40.03,-107.28,CO
Ripple Creek,07J05S,SNTL,10340,40.11,-107.29,CO
Roach,06J12S,SNTL,9700,40.88,-106.05,CO
Rough And Tumble,06K43S,SNTL,10360,39.03,-106.08,CO
Saint Elmo,06L05,SNOW,10400,38.7,-106.37,CO
Saint Elmo,06L05S,SNTL,10540,38.7,-106.37,CO
Santa Maria,07M17,SNOW,9600,37.82,-107.12,CO
Sargents Mesa,06L13S,SNTL,11530,38.29,-106.37,CO
Sawtooth,05J45,SNOW,9740,40.13,-105.58,CO
Sawtooth,05J45S,SNTL,9620,40.14,-105.59,CO
Schofield Pass,07K11S,SNTL,10700,39.02,-107.05,CO
Scotch Creek,08M08S,SNTL,9100,37.65,-108.01,CO
Sharkstooth,08M04S,SNTL,10720,37.5,-108.11,CO
Shrine Pass,06K09,SNOW,10700,39.53,-106.22,CO
Silver Lakes,06M04,SNOW,9500,37.38,-106.4,CO
Slumgullion,07M30S,SNTL,11440,37.99,-107.2,CO
Snake River,05K16,SNOW,10000,39.63,-105.9,CO
South Colony,05M13S,SNTL,10800,37.97,-105.54,CO
Spud Mountain,07M11S,SNTL,10660,37.7,-107.78,CO
Stillwater Creek,05J12S,SNTL,8720,40.23,-105.92,CO
Stump Lakes,07M34S,SNTL,11200,37.48,-107.63,CO
Summit Ranch,06K14S,SNTL,9400,39.72,-106.16,CO
Sundance,05K22,SNOW,11100,39.57,-105.73,CO
Telluride,07M02,SNOW,8800,37.93,-107.8,CO
Tennessee Pass #2,06K25,SNOW,10280,39.35,-106.35,CO
Tower,06J29S,SNTL,10500,40.54,-106.68,CO
Trapper Lake,07K13S,SNTL,9700,40,-107.24,CO
Trinchera,05M08S,SNTL,10860,37.35,-105.23,CO
Trout Creek Pass,06L12,SNOW,9720,38.92,-106.05,CO
Trout Lake #2,07M28,SNOW,9780,37.83,-107.88,CO
Twin Lakes Tunnel,06K03,SNOW,10450,39.08,-106.53,CO
University Camp,05J08,SNOW,10300,40.03,-105.57,CO
University Camp,05J08S,SNTL,10300,40.03,-105.58,CO
Upper Rio Grande,07M16S,SNTL,9400,37.72,-107.26,CO
Upper San Juan,06M03,SNOW,10200,37.48,-106.83,CO
Upper San Juan,06M03S,SNTL,10200,37.49,-106.84,CO
Upper Taylor,06L14S,SNTL,10640,38.99,-106.75,CO
Ute Creek,05M17,SNOW,10650,37.62,-105.37,CO
Ute Creek,05M17S,SNTL,10650,37.61,-105.37,CO
Vail Mountain,06K39S,SNTL,10300,39.62,-106.38,CO
Vallecito,07M31S,SNTL,10880,37.49,-107.51,CO
Vasquez,05K19,SNOW,9600,39.85,-105.82,CO
Wager Gulch,07M37S,SNTL,11100,37.88,-107.36,CO
Ward,05J21,SNOW,9500,40.07,-105.52,CO
Weminuche Creek,07M36S,SNTL,10740,37.52,-107.32,CO
Weston,06K26,SNOW,9300,39.07,-106.02,CO
Whiskey Ck,05M14S,SNTL,10220,37.21,-105.12,CO
Wild Basin,05J05,SNOW,9600,40.2,-105.6,CO
Wild Basin,05J05S,SNTL,9560,40.2,-105.6,CO
Willow Creek Pass,06J05,SNOW,9540,40.35,-106.1,CO
Willow Creek Pass,06J05S,SNTL,9540,40.35,-106.09,CO
Willow Park,05J40S,SNTL,10700,40.43,-105.73,CO
Winfield Middle,06K50,SNOW,10340,38.98,-106.45,CO
Wolf Creek Summit,06M17S,SNTL,11000,37.48,-106.8,CO
Wurtz Lower,06K51,SNOW,10690,39.39,-106.36,CO
Wurtz Middle,06K52,SNOW,10436,39.41,-106.37,CO
Yampa View,06J10,SNOW,8200,40.37,-106.77,CO
Zirkel,06J19S,SNTL,9340,40.79,-106.6,CO
